city,effective_current_tax,first_ever_effective,note,source
Auburn,1996-03-01,1996-03-01,"2% enacted 29 June 1995",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Glens Falls,1969-03-01,1969-03-01,"1.5% enacted 19 June 1968",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Gloversville,1988-03-01,1988-03-01,"1.5% enacted 23 June 1987; 3% column entry 1 Dec 2005 (see rate note)",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Ithaca,1970-03-01,1970-03-01,"1.5% enacted 25 June 1969",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Johnstown,1988-03-01,1988-03-01,"3% column entry enacted 29 June 1987 (see rate note)",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Mount Vernon,1972-06-01,1972-06-01,"1% enacted 23 Feb 1972; 2% 1974; 2.5% 1984",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
New Rochelle,1976-09-01,1976-09-01,"2% enacted 4 May 1976; 3% column entry 1993 (see rate note)",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Norwich,1990-03-01,1990-03-01,"3% column entry enacted 27 June 1989 (see rate note)",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Ogdensburg,2022-03-01,1969-03-01,"1.5% 1969; repealed 1 Dec 2000; 3% re-imposed effective 1 Mar 2022",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Olean,1969-03-01,1969-03-01,"1.5% enacted 23 Apr 1968",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Oneida,1972-12-01,1972-12-01,"1% 1972; 1.5% 1973; 2% 1 June 2004",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Oswego,1968-03-01,1968-03-01,"2% 1968; 3% 1972; 4% 1 Sep 2004 (excluded from the analysis)",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Rome,1980-12-01,1980-12-01,"1.5% enacted 22 Oct 1980; 1.75% 1990; additional rate expired 1 Sep 2000",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Salamanca,1969-03-01,1969-03-01,"1.5% enacted 27 May 1968",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Saratoga Springs,2002-06-01,1969-06-01,"1% 1969; 2% 1970; 3% 1980; repealed 1 June 1985; re-imposed effective 1 June 2002",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Utica,1982-06-01,1982-06-01,"1.5% enacted 8 Apr 1982",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
White Plains,1973-09-01,1973-09-01,"2% 1973; 2.25% 2008; 2.5% 1 June 2010",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
Yonkers,1968-06-01,1968-06-01,"1% 1968; 2% 1969; 3% 1970; 4% 1976; 4.5% 1 Sep 2015",https://www.tax.ny.gov/pdf/publications/sales/pub718a.pdf
