city,county,place_fips,county_fips,dist_city_pattern,dist_county_pattern,dtf_jurisdiction,r_k,r_c,p_c,r_c_pub718a_col,include,note,source
Auburn,Cayuga,3603078,36011,^City of Auburn Sales,^Cayuga County Sales,CAYUGA,4.00,2.00,2.00,2.0,TRUE,OSC Fig 2 2.0; Pub 718-A footnote o 'city preempts county's 2%'; Pub 718 combined 8.000 inside and outside. All agree.,https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Glens Falls,Warren,3629333,36113,^City of Glens Falls Sales,^Warren County Sales,WARREN,3.00,1.50,1.50,1.5,TRUE,Warren county rate 3.0. OSC Fig 2 1.5; Pub 718 combined 7.000 inside and outside.,https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Gloversville,Fulton,3629443,36035,^City of Gloversville Sales,^Fulton County Sales,FULTON,4.00,2.00,2.00,3.0,TRUE,"Two-city county. OSC Fig 2 2.0. Pub 718-A footnote t: 'within city, county rate is 2%', so with Pub 718 combined 8.000 the city rate is 2.0. The 718-A percent column shows 3 - see docs/data-layouts.md 3a.",https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Ithaca,Tompkins,3638077,36109,^City of Ithaca Sales,^Tompkins County Sales,TOMPKINS,4.00,1.50,1.50,1.5,TRUE,"OSC Fig 2 1.5; Pub 718-A footnote a* (county base rate 1.5 in city, county additional 1% not preemptable) gives county-in-city 2.5 and Pub 718 combined 8.000. All agree.",https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Johnstown,Fulton,3638781,36035,^City of Johnstown Sales,^Fulton County Sales,FULTON,4.00,2.00,2.00,3.0,TRUE,Two-city county. OSC Fig 2 2.0. Pub 718-A footnote t as for Gloversville. The 718-A percent column shows 3.,https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Mount Vernon,Westchester,3649121,36119,^City of Mount Vernon Sales,^Westchester County Sales,WESTCHESTER,4.00,2.50,2.50,2.5,TRUE,Four-city county; the MCTD 3/8% is state-side and does not enter r_k. OSC Fig 2 2.5; Pub 718 combined 8.375 inside and outside.,https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
New Rochelle,Westchester,3650617,36119,^City of New Rochelle Sales,^Westchester County Sales,WESTCHESTER,4.00,2.50,2.50,3.0,TRUE,OSC Fig 2 2.5; Pub 718 combined 8.375 inside and outside implies local 4.0 split 1.5 county / 2.5 city. The 718-A percent column shows 3.,https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Norwich,Chenango,3653979,36017,^City of Norwich Sales,^Chenango County Sales,CHENANGO,4.00,1.50,1.50,3.0,TRUE,"OSC Fig 2 1.5. Pub 718-A footnote a gives county-in-city 2.5 (1.5 regular + 1.0 non-preemptable additional); with Pub 718 combined 8.000 the city rate is 1.5. The 718-A percent column shows 3. NOTE Pub 718-C: Chenango exempts clothing under $110 OUTSIDE the city of Norwich only, so city and county bases differ in composition.",https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
Ogdensburg,St. Lawrence,3654485,36089,^City of Ogdensburg Sales,^St. Lawrence County Sales,ST LAWRENCE,4.00,3.00,3.00,3.0,TRUE,"CORRECTED 2026-09-08. Repealed eff. 1 Dec 2000, re-imposed eff. 1 Mar 2022, so absent from OSC's Jan-2020 table; an earlier reading inferred 1.5 from Pub 718-A footnote a and was wrong. The city code imposes 3% under Tax Law s.1210(a); the city preempted the county's base 3% within the city and St. Lawrence retains only its additional 1%, which is not subject to preemption under s.1224. County-in-city 1% + city 3% = 4% local, matching Pub 718's combined 8% and DTF notice ST-22-1 (rates unchanged, reporting only). City code at https://ecode360.com/8441252 (blocks automated fetches).",https://www.tax.ny.gov/pdf/2022/st/st-22-1.pdf
Olean,Cattaraugus,3654716,36009,^City of Olean Sales,^Cattaraugus County Sales,CATTARAUGUS,4.00,1.50,1.50,1.5,TRUE,Two-city county. OSC Fig 2 1.5; Pub 718 combined 8.000 inside and outside.,https://www.osc.ny.gov/files/local-government/publications/pdf/understanding-local-government-sales-tax-in-nys-2020-update.pdf
