county,county_taxes_part1,county_taxes_part2,school_district_or_city_only,note,source
ALBANY,FALSE,FALSE,TRUE,"Albany, Cohoes and Watervliet school districts at 3% (Part 1 only)",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
ALLEGANY,TRUE,TRUE,FALSE,4.5%,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
BROOME,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CATTARAUGUS,TRUE,TRUE,FALSE,"3%; Olean and Salamanca cities 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CAYUGA,FALSE,FALSE,TRUE,"Auburn city 2% (Parts 1 and 2)",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CHAUTAUQUA,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CHEMUNG,FALSE,FALSE,FALSE,"Part 1 rate suspended June-Nov 2026; not listed",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CHENANGO,FALSE,FALSE,TRUE,"Norwich city 3% (Parts 1 and 2)",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CLINTON,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
COLUMBIA,FALSE,FALSE,TRUE,"Hudson school district 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
CORTLAND,TRUE,TRUE,FALSE,4%,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
DELAWARE,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
DUTCHESS,FALSE,FALSE,TRUE,"Poughkeepsie school district 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
ERIE,TRUE,TRUE,FALSE,"4.75%; Lackawanna school district 7.75%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
ESSEX,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
FRANKLIN,TRUE,TRUE,FALSE,2%,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
FULTON,FALSE,FALSE,TRUE,"Gloversville and Johnstown school districts 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
GENESEE,FALSE,FALSE,TRUE,"Batavia school district 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
GREENE,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
HAMILTON,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
HERKIMER,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
JEFFERSON,FALSE,FALSE,TRUE,"Watertown school district 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
LEWIS,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
LIVINGSTON,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
MADISON,FALSE,FALSE,TRUE,"Oneida city 2% (Parts 1 and 2)",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
MONROE,FALSE,FALSE,FALSE,,https://www.tax.ny.gov/forms/publications/st/pub718r.htm
MONTGOMERY,FALSE,FALSE,TRUE,"Johnstown school district (Montgomery part) 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
NASSAU,FALSE,FALSE,TRUE,"Glen Cove and Long Beach school districts 3%",https://www.tax.ny.gov/forms/publications/st/pub718r.htm
