ESTAB,NAICS2017,zip,year
13,44-45,12015,2021
14,44-45,12027,2021
41,44-45,12043,2021
8,44-45,12051,2021
15,44-45,12209,2021
33,44-45,12305,2021
109,44-45,12010,2021
12,44-45,12018,2021
30,44-45,12061,2021
3,44-45,12076,2021
71,44-45,12095,2021
6,44-45,12157,2021
8,44-45,12183,2021
40,44-45,12309,2021
3,44-45,12052,2021
5,44-45,12053,2021
36,44-45,12077,2021
79,44-45,12144,2021
26,44-45,12184,2021
12,44-45,12122,2021
190,44-45,12203,2021
4,44-45,12029,2021
5,44-45,12032,2021
44,44-45,12054,2021
13,44-45,12083,2021
5,44-45,12158,2021
159,44-45,12180,2021
38,44-45,12210,2021
26,44-45,12019,2021
12,44-45,12123,2021
16,44-45,12192,2021
103,44-45,12304,2021
22,44-45,12033,2021
17,44-45,12084,2021
13,44-45,12159,2021
272,44-45,12205,2021
30,44-45,12208,2021
27,44-45,12307,2021
6,44-45,12066,2021
10,44-45,12125,2021
11,44-45,12186,2021
6,44-45,12193,2021
41,44-45,12207,2021
3,44-45,12212,2021
42,44-45,12047,2021
3,44-45,12133,2021
7,44-45,12196,2021
23,44-45,12204,2021
3,44-45,12250,2021
18,44-45,12009,2021
7,44-45,12068,2021
64,44-45,12078,2021
12,44-45,12117,2021
13,44-45,12134,2021
3,44-45,12197,2021
64,44-45,12303,2021
5,44-45,12160,2021
7,44-45,12164,2021
15,44-45,12198,2021
107,44-45,12206,2021
28,44-45,12308,2021
27,44-45,12037,2021
5,44-45,12072,2021
3,44-45,12085,2021
3,44-45,12106,2021
7,44-45,12148,2021
3,44-45,12166,2021
20,44-45,12188,2021
77,44-45,12302,2021
4,44-45,12087,2021
5,44-45,12089,2021
5,44-45,12137,2021
14,44-45,12167,2021
33,44-45,12182,2021
68,44-45,12306,2021
3,44-45,12022,2021
5,44-45,12056,2021
177,44-45,12065,2021
8,44-45,12074,2021
19,44-45,12090,2021
28,44-45,12118,2021
3,44-45,12140,2021
5,44-45,12149,2021
3,44-45,12168,2021
80,44-45,12020,2021
12,44-45,12025,2021
3,44-45,12059,2021
5,44-45,12075,2021
19,44-45,12143,2021
3,44-45,12151,2021
6,44-45,12170,2021
30,44-45,12202,2021
20,44-45,12211,2021
4,44-45,12093,2021
160,44-45,12110,2021
13,44-45,12154,2021
31,44-45,12189,2021
6,72,12015,2021
5,72,12075,2021
36,72,12078,2021
12,72,12154,2021
10,72,12202,2021
7,72,12051,2021
13,72,12118,2021
3,72,12183,2021
44,72,12303,2021
10,72,12018,2021
7,72,12027,2021
8,72,12157,2021
153,72,12205,2021
62,72,12206,2021
68,72,12207,2021
21,72,12209,2021
137,72,12065,2021
10,72,12122,2021
27,72,12189,2021
118,72,12203,2021
57,72,12306,2021
7,72,12032,2021
25,72,12043,2021
119,72,12110,2021
62,72,12302,2021
25,72,12077,2021
19,72,12083,2021
6,72,12158,2021
183,72,12180,2021
16,72,12184,2021
25,72,12211,2021
24,72,12061,2021
5,72,12123,2021
15,72,12192,2021
25,72,12222,2021
50,72,12305,2021
8,72,12019,2021
4,72,12067,2021
32,72,12095,2021
9,72,12125,2021
62,72,12144,2021
8,72,12186,2021
4,72,12242,2021
14,72,12307,2021
83,72,12020,2021
18,72,12033,2021
15,72,12084,2021
13,72,12159,2021
7,72,12196,2021
7,72,12068,2021
18,72,12134,2021
62,72,12210,2021
39,72,12309,2021
76,72,12010,2021
34,72,12054,2021
7,72,12106,2021
11,72,12117,2021
9,72,12164,2021
16,72,12198,2021
15,72,12009,2021
4,72,12072,2021
3,72,12089,2021
3,72,12108,2021
8,72,12167,2021
50,72,12304,2021
34,72,12047,2021
9,72,12056,2021
7,72,12074,2021
13,72,12188,2021
23,72,12204,2021
66,72,12208,2021
15,72,12037,2021
3,72,12058,2021
10,72,12090,2021
31,72,12182,2021
26,72,12308,2021
12,72,12025,2021
3,72,12093,2021
12,72,12143,2021
23,44-45,12009,2022
116,44-45,12010,2022
10,44-45,12015,2022
15,44-45,12018,2022
21,44-45,12019,2022
82,44-45,12020,2022
3,44-45,12022,2022
10,44-45,12025,2022
16,44-45,12027,2022
6,44-45,12029,2022
5,44-45,12032,2022
22,44-45,12033,2022
28,44-45,12037,2022
42,44-45,12043,2022
46,44-45,12047,2022
9,44-45,12051,2022
3,44-45,12052,2022
6,44-45,12053,2022
41,44-45,12054,2022
5,44-45,12056,2022
3,44-45,12059,2022
3,44-45,12060,2022
32,44-45,12061,2022
175,44-45,12065,2022
5,44-45,12066,2022
9,44-45,12068,2022
5,44-45,12072,2022
7,44-45,12074,2022
5,44-45,12075,2022
3,44-45,12076,2022
34,44-45,12077,2022
66,44-45,12078,2022
18,44-45,12083,2022
18,44-45,12084,2022
3,44-45,12085,2022
4,44-45,12087,2022
4,44-45,12089,2022
