NAME,B01003_001E,B11001_001E,B19025_001E,state,county
"Albany County, New York",315374,132728,14303090600,36,001
"Allegany County, New York",47027,17057,1333441300,36,003
"Bronx County, New York",1419250,530067,37722285000,36,005
"Broome County, New York",197738,81781,6900601300,36,007
"Cattaraugus County, New York",76479,31822,2346696000,36,009
"Cayuga County, New York",75464,31334,2712249200,36,011
"Chautauqua County, New York",126329,53602,3970007600,36,013
"Chemung County, New York",82805,34916,2925980800,36,015
"Chenango County, New York",46685,19800,1544636400,36,017
"Clinton County, New York",78961,33276,2980959100,36,019
"Columbia County, New York",61245,26098,3194999600,36,021
"Cortland County, New York",46401,18768,1556755000,36,023
"Delaware County, New York",44551,18947,1537402500,36,025
"Dutchess County, New York",297144,115184,15060872300,36,027
"Erie County, New York",950044,408711,38865063200,36,029
"Essex County, New York",37077,16039,1479512300,36,031
"Franklin County, New York",47066,19234,1518270300,36,033
"Fulton County, New York",52787,22607,1818691800,36,035
"Genesee County, New York",57943,24769,2136577600,36,037
"Greene County, New York",47554,18188,1804594400,36,039
"Hamilton County, New York",5102,2111,191707400,36,041
"Herkimer County, New York",59932,25426,2140984600,36,043
"Jefferson County, New York",116130,46701,3947616000,36,045
"Kings County, New York",2646306,1009596,121322523500,36,047
"Lewis County, New York",26618,10958,872491800,36,049
"Livingston County, New York",61588,24329,2270030700,36,051
"Madison County, New York",67572,25563,2465837100,36,053
"Monroe County, New York",754068,316506,31879838600,36,055
"Montgomery County, New York",49461,19234,1521528300,36,057
"Nassau County, New York",1388138,456076,85621392600,36,059
"New York County, New York",1627788,775376,149175043000,36,061
"Niagara County, New York",211341,91493,7968577100,36,063
"Oneida County, New York",229645,94361,8411778600,36,065
"Onondaga County, New York",471611,194963,19327409300,36,067
"Ontario County, New York",112405,47684,4990498400,36,069
"Orange County, New York",403840,137311,16688677200,36,071
"Orleans County, New York",39686,16208,1343934500,36,073
"Oswego County, New York",117945,47132,4155043100,36,075
"Otsego County, New York",59738,22608,2038990600,36,077
"Putnam County, New York",97988,35054,5290503900,36,079
"Queens County, New York",2330124,828230,94147261500,36,081
"Rensselaer County, New York",160341,66233,7021330200,36,083
"Richmond County, New York",492734,170047,21385748800,36,085
"Rockland County, New York",338936,103284,15261679100,36,087
"St. Lawrence County, New York",107796,41732,3292218000,36,089
"Saratoga County, New York",237075,99835,12825697200,36,091
"Schenectady County, New York",159603,66324,6574119500,36,093
"Schoharie County, New York",29979,12439,1121014900,36,095
"Schuyler County, New York",17749,7405,620268100,36,097
"Seneca County, New York",33125,13679,1186374600,36,099
"Steuben County, New York",93034,38916,3369704600,36,101
"Suffolk County, New York",1525680,512280,83578767800,36,103
"Sullivan County, New York",79147,30215,3077137600,36,105
"Tioga County, New York",48106,20214,1940229500,36,107
"Tompkins County, New York",102879,43269,4442669900,36,109
"Ulster County, New York",182109,73105,8228138400,36,111
"Warren County, New York",65560,30041,3040489000,36,113
"Washington County, New York",60883,24254,2108201100,36,115
"Wayne County, New York",91128,38222,3431324900,36,117
"Westchester County, New York",996888,370256,69415856400,36,119
"Wyoming County, New York",39980,16263,1370760400,36,121
"Yates County, New York",24637,9095,811866500,36,123
