NAME,B01003_001E,B11001_001E,B19025_001E,state,place
"Accord CDP, New York",654,279,31718500,36,00155
"Adams village, New York",1730,717,57803900,36,00199
"Adams Center CDP, New York",1002,432,43792600,36,00232
"Addison village, New York",1775,673,45121700,36,00276
"Afton village, New York",1086,444,25566700,36,00342
"Airmont village, New York",10082,2702,378357600,36,00408
"Akron village, New York",2904,1494,95974900,36,00441
"Akwesasne CDP, New York",4140,1475,106843300,36,00457
"Albany city, New York",100081,43745,3511073300,36,01000
"Albertson CDP, New York",4859,1680,300908400,36,01011
"Albion village, New York",5495,2593,141851000,36,01033
"Alden village, New York",2595,1165,102373100,36,01088
"Alexander village, New York",444,174,14903600,36,01154
"Alexandria Bay village, New York",1296,698,49937400,36,01187
"Alfred village, New York",4632,588,39929000,36,01198
"Allegany village, New York",1773,763,73067500,36,01286
"Almond village, New York",390,160,10511600,36,01440
"Altamont village, New York",1767,716,88903200,36,01517
"Altmar CDP, New York",222,115,6954900,36,01550
"Altona CDP, New York",603,119,4583000,36,01572
"Amagansett CDP, New York",651,308,76350000,36,01594
"Amenia CDP, New York",928,409,38062700,36,01682
"Ames village, New York",136,58,6729800,36,01737
"Amityville village, New York",9513,3766,526030000,36,02044
"Amsterdam city, New York",18162,7607,518627200,36,02066
"Andes CDP, New York",128,82,5966200,36,02121
"Andover village, New York",968,364,34655800,36,02143
"Angelica village, New York",610,304,20441900,36,02176
"Angola village, New York",2628,1062,85081200,36,02198
"Angola on the Lake CDP, New York",1699,769,61173000,36,02220
"Antwerp village, New York",745,286,19745400,36,02286
"Apalachin CDP, New York",2076,848,95096400,36,02308
"Aquebogue CDP, New York",1778,605,76926700,36,02374
"Arcade village, New York",1912,1035,76348700,36,02407
"Ardsley village, New York",5005,1627,471516900,36,02506
"Argyle village, New York",498,149,11419100,36,02550
"Arkport village, New York",953,365,29939300,36,02583
"Arlington CDP, New York",2522,1155,147988200,36,02616
"Armonk CDP, New York",4382,1454,513978900,36,02649
"Asharoken village, New York",712,305,75737600,36,02737
"Athens village, New York",1877,754,79508000,36,02902
"Atlantic Beach village, New York",1327,539,128619300,36,02968
"Attica village, New York",1846,916,76255100,36,03001
"Auburn city, New York",26475,11758,765483300,36,03078
"Aurora village, New York",672,121,10540500,36,03188
"Au Sable Forks CDP, New York",559,235,16064100,36,03254
"Averill Park CDP, New York",1604,802,106127000,36,03320
"Avoca village, New York",981,381,26721700,36,03331
"Avon village, New York",3415,1512,133245900,36,03353
"Babylon village, New York",12182,4663,825882700,36,03408
"Bainbridge village, New York",1059,471,33191900,36,04033
"Baiting Hollow CDP, New York",2686,1098,151852200,36,04055
"Baldwin CDP, New York",33595,10785,1811148500,36,04143
"Baldwinsville village, New York",7732,3614,335510700,36,04198
"Ballston Spa village, New York",5080,2146,217056300,36,04253
"Balmville CDP, New York",3725,1315,171698700,36,04286
"Bard College CDP, New York",1237,71,14716500,36,04388
"Bardonia CDP, New York",4022,1584,224014200,36,04396
"Barker village, New York",628,229,16459200,36,04440
"Barneveld CDP, New York",176,58,4937000,36,04528
"Barnum Island CDP, New York",2173,884,115892800,36,04550
"Barrytown CDP, New York",144,57,9620200,36,04605
"Barryville CDP, New York",239,126,13729200,36,04616
"Batavia city, New York",15494,7456,578217900,36,04715
"Bath village, New York",5595,2855,166129000,36,04759
"Baxter Estates village, New York",1342,471,122979600,36,04803
"Bay Park CDP, New York",1780,625,93283400,36,04891
"Bayport CDP, New York",8831,3309,566795200,36,04913
"Bay Shore CDP, New York",31275,9718,1224023900,36,04935
"Bayville village, New York",6744,2580,472147300,36,05034
"Baywood CDP, New York",7577,2009,279901000,36,05039
"Beacon city, New York",14629,6320,770808900,36,05100
"Beaver Dam Lake CDP, New York",3361,1046,135083300,36,05188
"Bedford CDP, New York",2118,756,274737200,36,05309
"Bedford Hills CDP, New York",2283,900,103491700,36,05342
"Belfast CDP, New York",648,258,14131500,36,05562
"Bellerose village, New York",1085,338,77342000,36,05639
"Bellerose Terrace CDP, New York",2180,697,102931700,36,05661
"Belle Terre village, New York",766,276,82989700,36,05672
"Belleville CDP, New York",231,138,9331100,36,05683
"Bellmore CDP, New York",15652,5216,1022059800,36,05738
"Bellport village, New York",1876,902,184757200,36,05771
"Belmont village, New York",903,365,27510000,36,05815
"Bemus Point village, New York",206,112,16360700,36,05848
"Bergen village, New York",1203,455,41597600,36,06046
"Bethpage CDP, New York",17334,5961,992218200,36,06387
"Big Flats CDP, New York",5846,2455,331533500,36,06464
"Billington Heights CDP, New York",1925,829,102499800,36,06574
"Binghamton city, New York",47357,20950,1436581000,36,06607
"Binghamton University CDP, New York",6921,0,-666666666,36,06644
"Black River village, New York",1880,774,71443400,36,06794
"Blasdell village, New York",2534,1207,86232700,36,06849
"Blauvelt CDP, New York",5485,1654,319620300,36,06860
"Bliss CDP, New York",429,197,11550100,36,06904
"Blodgett Mills CDP, New York",193,61,5141400,36,06937
"Bloomfield village, New York",1281,584,54591800,36,06945
"Bloomingburg village, New York",1022,211,9851400,36,06959
"Bloomville CDP, New York",254,83,7470500,36,07025
"Blue Point CDP, New York",4622,2056,307210400,36,07069
"Bohemia CDP, New York",9306,3203,446057200,36,07157
"Bolivar village, New York",1108,461,30090200,36,07190
"Bolton Landing CDP, New York",263,148,22197400,36,07245
"Boonville village, New York",1967,874,58847900,36,07355
"Brasher Falls CDP, New York",564,259,16610300,36,07960
"Breesport CDP, New York",796,295,22961700,36,08004
"Brewerton CDP, New York",4466,1657,179544300,36,08059
"Brewster village, New York",2510,977,88305100,36,08070
"Brewster Heights CDP, New York",1356,410,64129500,36,08081
"Brewster Hill CDP, New York",2211,929,96259400,36,08092
"Briarcliff Manor village, New York",7333,2692,812986800,36,08103
"Bridgehampton CDP, New York",1322,516,188310200,36,08136
"Bridgeport CDP, New York",1320,514,31909700,36,08147
"Bridgeville CDP, New York",72,53,7001000,36,08158
"Bridgewater CDP, New York",507,227,10194900,36,08169
"Brighton CDP, New York",36633,15904,2147812500,36,08257
"Brightwaters village, New York",3185,1033,236839000,36,08323
"Brinckerhoff CDP, New York",2688,1204,137726700,36,08334
"Broadalbin village, New York",1800,698,78808000,36,08422
"Brockport village, New York",7153,2228,171984300,36,08466
"Brocton village, New York",1368,542,31893800,36,08488
"Bronxville village, New York",6539,2216,958028600,36,08532
"Brookhaven CDP, New York",3080,1064,139772300,36,09000
"Brooktondale CDP, New York",487,199,17635100,36,10077
"Brookville village, New York",2944,774,493152100,36,10132
"Brownville village, New York",538,239,21355500,36,10231
"Brushton village, New York",545,215,12919900,36,10286
