level,geo,NAME,B25046_001E
place,00155,"Accord CDP, New York",501
place,00199,"Adams village, New York",1129
place,00232,"Adams Center CDP, New York",NA
place,00276,"Addison village, New York",1112
place,00342,"Afton village, New York",717
place,00408,"Airmont village, New York",5097
place,00441,"Akron village, New York",2086
place,00457,"Akwesasne CDP, New York",3006
place,01000,"Albany city, New York",52776
place,01011,"Albertson CDP, New York",3097
place,01033,"Albion village, New York",3738
place,01088,"Alden village, New York",1944
place,01154,"Alexander village, New York",297
place,01187,"Alexandria Bay village, New York",944
place,01198,"Alfred village, New York",826
place,01286,"Allegany village, New York",1252
place,01440,"Almond village, New York",282
place,01517,"Altamont village, New York",1235
place,01550,"Altmar CDP, New York",168
place,01572,"Altona CDP, New York",205
place,01594,"Amagansett CDP, New York",736
place,01682,"Amenia CDP, New York",622
place,01737,"Ames village, New York",120
place,02044,"Amityville village, New York",6707
place,02066,"Amsterdam city, New York",10421
place,02121,"Andes CDP, New York",115
place,02143,"Andover village, New York",675
place,02176,"Angelica village, New York",541
place,02198,"Angola village, New York",1699
place,02220,"Angola on the Lake CDP, New York",1198
place,02286,"Antwerp village, New York",485
place,02308,"Apalachin CDP, New York",1622
place,02374,"Aquebogue CDP, New York",NA
place,02407,"Arcade village, New York",1699
place,02506,"Ardsley village, New York",3313
place,02550,"Argyle village, New York",252
place,02583,"Arkport village, New York",659
place,02616,"Arlington CDP, New York",1649
place,02649,"Armonk CDP, New York",3300
place,02737,"Asharoken village, New York",693
place,02902,"Athens village, New York",1233
place,02968,"Atlantic Beach village, New York",969
place,03001,"Attica village, New York",1509
place,03078,"Auburn city, New York",15684
place,03188,"Aurora village, New York",207
place,03254,"Au Sable Forks CDP, New York",470
place,03320,"Averill Park CDP, New York",1733
place,03331,"Avoca village, New York",619
place,03353,"Avon village, New York",2465
place,03408,"Babylon village, New York",9233
place,04033,"Bainbridge village, New York",734
place,04055,"Baiting Hollow CDP, New York",2175
place,04143,"Baldwin CDP, New York",20790
