level,geo,NAME,workers
place,00155,"Accord CDP, New York",350
place,00199,"Adams village, New York",740
place,00232,"Adams Center CDP, New York",451
place,00276,"Addison village, New York",645
place,00342,"Afton village, New York",467
place,00408,"Airmont village, New York",1905
place,00441,"Akron village, New York",1605
place,00457,"Akwesasne CDP, New York",979
place,01000,"Albany city, New York",98900
place,01011,"Albertson CDP, New York",1043
place,01033,"Albion village, New York",2217
place,01088,"Alden village, New York",1331
place,01154,"Alexander village, New York",197
place,01187,"Alexandria Bay village, New York",1212
place,01198,"Alfred village, New York",2339
place,01286,"Allegany village, New York",666
place,01440,"Almond village, New York",76
place,01517,"Altamont village, New York",592
place,01550,"Altmar CDP, New York",63
place,01572,"Altona CDP, New York",331
place,01594,"Amagansett CDP, New York",740
place,01682,"Amenia CDP, New York",483
place,01737,"Ames village, New York",0
place,02044,"Amityville village, New York",6493
place,02066,"Amsterdam city, New York",7853
place,02121,"Andes CDP, New York",79
place,02143,"Andover village, New York",247
place,02176,"Angelica village, New York",185
place,02198,"Angola village, New York",493
place,02220,"Angola on the Lake CDP, New York",487
place,02286,"Antwerp village, New York",115
place,02308,"Apalachin CDP, New York",680
place,02374,"Aquebogue CDP, New York",643
place,02407,"Arcade village, New York",2121
place,02506,"Ardsley village, New York",2215
place,02550,"Argyle village, New York",170
place,02583,"Arkport village, New York",430
place,02616,"Arlington CDP, New York",1605
place,02649,"Armonk CDP, New York",5829
place,02737,"Asharoken village, New York",123
place,02902,"Athens village, New York",633
place,02968,"Atlantic Beach village, New York",290
place,03001,"Attica village, New York",451
place,03078,"Auburn city, New York",13174
place,03188,"Aurora village, New York",841
place,03254,"Au Sable Forks CDP, New York",64
place,03320,"Averill Park CDP, New York",818
place,03331,"Avoca village, New York",353
place,03353,"Avon village, New York",1808
place,03408,"Babylon village, New York",6564
place,04033,"Bainbridge village, New York",444
place,04055,"Baiting Hollow CDP, New York",365
place,04143,"Baldwin CDP, New York",6201
place,04198,"Baldwinsville village, New York",3076
place,04253,"Ballston Spa village, New York",3419
place,04286,"Balmville CDP, New York",1601
place,04388,"Bard College CDP, New York",1643
place,04396,"Bardonia CDP, New York",1248
place,04440,"Barker village, New York",306
place,04528,"Barneveld CDP, New York",105
place,04550,"Barnum Island CDP, New York",1237
place,04605,"Barrytown CDP, New York",9
place,04616,"Barryville CDP, New York",85
place,04715,"Batavia city, New York",10890
place,04759,"Bath village, New York",3642
place,04803,"Baxter Estates village, New York",520
place,04891,"Bay Park CDP, New York",81
place,04913,"Bayport CDP, New York",2020
place,04935,"Bay Shore CDP, New York",17560
place,05034,"Bayville village, New York",1246
place,05039,"Baywood CDP, New York",2472
place,05100,"Beacon city, New York",5398
place,05188,"Beaver Dam Lake CDP, New York",208
place,05309,"Bedford CDP, New York",877
place,05342,"Bedford Hills CDP, New York",1779
place,05562,"Belfast CDP, New York",200
place,05639,"Bellerose village, New York",527
place,05661,"Bellerose Terrace CDP, New York",298
place,05672,"Belle Terre village, New York",73
place,05683,"Belleville CDP, New York",158
place,05738,"Bellmore CDP, New York",5236
place,05771,"Bellport village, New York",1593
place,05815,"Belmont village, New York",752
place,05848,"Bemus Point village, New York",495
place,06046,"Bergen village, New York",387
place,06387,"Bethpage CDP, New York",13630
place,06464,"Big Flats CDP, New York",5730
place,06574,"Billington Heights CDP, New York",903
place,06607,"Binghamton city, New York",24392
place,06644,"Binghamton University CDP, New York",3915
place,06794,"Black River village, New York",289
place,06849,"Blasdell village, New York",1236
place,06860,"Blauvelt CDP, New York",3103
place,06904,"Bliss CDP, New York",106
place,06937,"Blodgett Mills CDP, New York",5
place,06945,"Bloomfield village, New York",660
place,06959,"Bloomingburg village, New York",172
place,07025,"Bloomville CDP, New York",56
place,07069,"Blue Point CDP, New York",1167
place,07157,"Bohemia CDP, New York",14944
place,07190,"Bolivar village, New York",432
place,07245,"Bolton Landing CDP, New York",620
place,07355,"Boonville village, New York",1183
place,07960,"Brasher Falls CDP, New York",255
place,08004,"Breesport CDP, New York",43
place,08059,"Brewerton CDP, New York",1004
place,08070,"Brewster village, New York",2096
place,08081,"Brewster Heights CDP, New York",141
place,08092,"Brewster Hill CDP, New York",46
place,08103,"Briarcliff Manor village, New York",2821
place,08136,"Bridgehampton CDP, New York",2591
place,08147,"Bridgeport CDP, New York",528
place,08158,"Bridgeville CDP, New York",216
place,08169,"Bridgewater CDP, New York",29
place,08257,"Brighton CDP, New York",24097
place,08323,"Brightwaters village, New York",1072
place,08334,"Brinckerhoff CDP, New York",458
place,08422,"Broadalbin village, New York",375
place,08466,"Brockport village, New York",5258
place,08488,"Brocton village, New York",598
place,08532,"Bronxville village, New York",4842
place,09000,"Brookhaven CDP, New York",1830
place,10077,"Brooktondale CDP, New York",101
place,10132,"Brookville village, New York",2874
place,10231,"Brownville village, New York",54
place,10286,"Brushton village, New York",65
place,10341,"Buchanan village, New York",947
place,11000,"Buffalo city, New York",155891
place,11132,"Burdett village, New York",39
place,11154,"Burke village, New York",35
place,11220,"Burlington Flats CDP, New York",88
place,11440,"Busti CDP, New York",24
place,11550,"Byersville CDP, New York",9
place,11616,"Cadyville CDP, New York",8
place,11638,"Cairo CDP, New York",1149
place,11671,"Calcium CDP, New York",540
place,11704,"Caledonia village, New York",891
place,11748,"Callicoon CDP, New York",290
place,11781,"Calverton CDP, New York",4479
place,11825,"Cambridge village, New York",1212
place,11847,"Camden village, New York",1946
place,11902,"Camillus village, New York",616
place,11935,"Campbell CDP, New York",456
place,12111,"Canajoharie village, New York",864
place,12144,"Canandaigua city, New York",9450
place,12177,"Canaseraga village, New York",51
place,12188,"Canastota village, New York",1350
place,12210,"Candor village, New York",211
place,12254,"Canisteo village, New York",706
place,12331,"Canton village, New York",5706
place,12353,"Cape Vincent village, New York",211
place,12402,"Captree CDP, New York",0
place,12419,"Carle Place CDP, New York",3896
place,12518,"Carmel CDP, New York",3199
place,12584,"Caroga Lake CDP, New York",167
place,12683,"Carthage village, New York",1521
place,12749,"Cassadaga village, New York",167
place,12771,"Castile village, New York",119
place,12870,"Castleton-on-Hudson village, New York",370
place,12881,"Castorland village, New York",71
place,12958,"Cato village, New York",390
place,13002,"Catskill village, New York",2949
place,13024,"Cattaraugus village, New York",537
place,13068,"Cayuga village, New York",60
place,13079,"Cayuga Heights village, New York",1159
place,13145,"Cazenovia village, New York",1993
place,13233,"Cedarhurst village, New York",2990
place,13288,"Celoron village, New York",627
place,13299,"Cementon CDP, New York",75
place,13376,"Centereach CDP, New York",8898
place,13420,"Center Moriches CDP, New York",2591
place,13442,"Centerport CDP, New York",1048
place,13530,"Central Bridge CDP, New York",47
place,13552,"Central Islip CDP, New York",9943
place,13585,"Central Square village, New York",1593
place,13618,"Centre Island village, New York",98
place,13662,"Chadwicks CDP, New York",184
place,13739,"Champlain village, New York",669
place,13805,"Chappaqua CDP, New York",2055
place,13981,"Chateaugay village, New York",304
place,14003,"Chatham village, New York",1349
place,14036,"Chaumont village, New York",282
