block,place_fips
360010001001000,3601000
360010001001001,3601000
360010001001002,3601000
360010001001003,3601000
360010001001004,3601000
360010001001005,3601000
360010001001006,3601000
360010001001007,3601000
360010001001008,3601000
360010001001009,3601000
360010001001010,3601000
360010001001011,3601000
360010001001012,3601000
360010001001013,3601000
360010001001014,3601000
360010001001015,3601000
360010001001016,3601000
360010001001017,3601000
360010001001018,3601000
360010001001019,3601000
360010001001020,3601000
360010001001021,3601000
360010001001022,3601000
360010001001023,3601000
360010001001024,3601000
360010001001025,3601000
360010001001026,3601000
360010001001027,3601000
360010001001028,3601000
360010001001029,3601000
360010001001030,3601000
360010001001031,3601000
360010001001032,3601000
360010001001033,3601000
360010001001034,3601000
360010001001035,3601000
360010001001036,3601000
360010001001037,3601000
360010001001038,3601000
360010001001039,3601000
360010001001040,3601000
360010001001041,3601000
360010001001042,3601000
360010001001043,3601000
360010001002000,3601000
360010001002001,3601000
360010001002002,3601000
360010001002003,3601000
360010001002004,3601000
360010001002005,3601000
360010001002006,3601000
360010001002007,3601000
360010001002008,3601000
360010001002009,3601000
360010002011000,3601000
360010002011001,3601000
360010002011002,3601000
360010002011003,3601000
360010002011004,3601000
360010002011005,3601000
360010002011006,3601000
360010002011007,3601000
360010002011008,3601000
360010002012000,3601000
360010002012001,3601000
360010002012002,3601000
360010002012003,3601000
360010002012004,3601000
360010002012005,3601000
360010002012006,3601000
360010002012007,3601000
360010002012008,3601000
360010002012009,3601000
360010002013000,3601000
360010002013001,3601000
360010002013002,3601000
360010002013003,3601000
360010002013004,3601000
360010002013005,3601000
360010002013006,3601000
360010002013007,3601000
360010002013008,3601000
360010002013009,3601000
360010002013010,3601000
360010002013011,3601000
360010002013012,3601000
360010002013013,3601000
360010002021000,3601000
360010002021001,3601000
360010002021002,3601000
360010002021003,3601000
360010002021004,3601000
360010002021005,3601000
360010002021006,3601000
360010002022000,3601000
360010002022001,3601000
360010002022002,3601000
360010002022003,3601000
360010002022004,3601000
360010002022005,3601000
360010002022006,3601000
360010002022007,3601000
360010002022008,3601000
360010002022009,3601000
360010002022010,3601000
360010002022011,3601000
360010002022012,3601000
360010002022013,3601000
360010002022014,3601000
360010002022015,3601000
360010002022016,3601000
360010003011000,3601000
360010003011001,3601000
360010003011002,3601000
360010003011003,3601000
360010003011004,3601000
360010003011005,3601000
360010003011006,3601000
