P1_001N,state,county,tract,block
39,36,001,000100,1036
0,36,001,000100,1038
0,36,001,000100,1021
11,36,001,000100,1022
0,36,001,000100,1024
0,36,001,000100,1026
0,36,001,000100,1029
0,36,001,000100,1030
27,36,001,000100,1007
79,36,001,000100,1011
36,36,001,000100,1012
18,36,001,000100,1017
19,36,001,000100,1018
0,36,001,000100,1001
128,36,001,000100,2006
0,36,001,000100,1005
0,36,001,000100,1006
77,36,001,000100,1035
114,36,001,000100,1037
0,36,001,000100,1039
0,36,001,000100,1040
0,36,001,000100,1041
0,36,001,000100,1042
0,36,001,000100,1043
221,36,001,000100,2000
102,36,001,000100,2001
59,36,001,000100,2002
153,36,001,000100,2003
80,36,001,000100,2004
9,36,001,000100,1023
0,36,001,000100,1025
0,36,001,000100,1027
0,36,001,000100,1028
0,36,001,000100,1031
24,36,001,000100,1032
44,36,001,000100,1033
22,36,001,000100,1034
35,36,001,000100,1008
30,36,001,000100,1009
108,36,001,000100,1010
56,36,001,000100,1013
65,36,001,000100,1014
37,36,001,000100,1015
35,36,001,000100,1016
123,36,001,000100,2005
24,36,001,000100,1019
35,36,001,000100,1020
80,36,001,000100,2007
76,36,001,000100,2008
107,36,001,000100,2009
0,36,001,000100,1000
0,36,001,000100,1002
0,36,001,000100,1003
0,36,001,000100,1004
71,36,001,000201,3007
39,36,001,000201,3010
0,36,001,000201,1008
175,36,001,000201,2000
130,36,001,000201,1007
226,36,001,000201,2001
293,36,001,000201,2002
114,36,001,000201,3001
41,36,001,000201,3003
116,36,001,000201,3004
242,36,001,000201,2003
179,36,001,000201,2004
115,36,001,000201,2005
2,36,001,000201,2006
127,36,001,000201,3005
72,36,001,000201,3006
55,36,001,000201,3008
46,36,001,000201,1000
22,36,001,000201,2007
84,36,001,000201,2008
110,36,001,000201,2009
87,36,001,000201,3000
65,36,001,000201,3009
19,36,001,000201,3011
7,36,001,000201,3012
0,36,001,000201,3013
115,36,001,000201,1001
107,36,001,000201,1002
120,36,001,000201,1003
25,36,001,000201,1004
147,36,001,000201,1005
73,36,001,000201,3002
101,36,001,000201,1006
154,36,001,000202,1003
0,36,001,000202,1001
0,36,001,000202,2007
79,36,001,000202,2012
396,36,001,000202,1002
239,36,001,000202,1004
196,36,001,000202,1005
629,36,001,000202,1006
111,36,001,000202,2000
0,36,001,000202,2001
0,36,001,000202,2002
33,36,001,000202,2003
0,36,001,000202,1000
0,36,001,000202,2004
0,36,001,000202,2005
0,36,001,000202,2006
0,36,001,000202,2008
23,36,001,000202,2009
30,36,001,000202,2010
348,36,001,000202,2011
206,36,001,000202,2013
0,36,001,000202,2014
59,36,001,000202,2015
95,36,001,000202,2016
128,36,001,000301,2003
70,36,001,000301,2005
94,36,001,000301,2008
99,36,001,000301,2010
203,36,001,000301,1002
27,36,001,000301,1004
283,36,001,000301,1005
146,36,001,000301,2001
0,36,001,000301,2000
56,36,001,000301,2002
89,36,001,000301,2004
169,36,001,000301,2006
210,36,001,000301,2007
12,36,001,000301,2009
360,36,001,000301,2011
95,36,001,000301,2012
415,36,001,000301,1000
121,36,001,000301,1001
399,36,001,000301,1003
214,36,001,000301,1006
0,36,001,000302,1000
397,36,001,000302,1007
31,36,001,000302,1009
37,36,001,000302,1011
0,36,001,000302,1015
1,36,001,000302,1017
0,36,001,000302,1020
27,36,001,000302,1032
119,36,001,000302,2003
0,36,001,000302,2006
289,36,001,000302,2009
330,36,001,000302,2011
0,36,001,000302,2015
99,36,001,000302,1001
46,36,001,000302,1002
0,36,001,000302,1003
0,36,001,000302,1004
654,36,001,000302,1005
38,36,001,000302,1006
142,36,001,000302,1008
46,36,001,000302,1010
61,36,001,000302,1012
14,36,001,000302,1013
0,36,001,000302,1014
0,36,001,000302,1016
0,36,001,000302,1018
0,36,001,000302,1019
0,36,001,000302,1021
108,36,001,000302,1022
96,36,001,000302,1023
17,36,001,000302,1024
57,36,001,000302,1025
111,36,001,000302,1026
70,36,001,000302,1027
48,36,001,000302,1028
98,36,001,000302,1029
49,36,001,000302,1030
70,36,001,000302,1031
0,36,001,000302,2000
0,36,001,000302,2001
46,36,001,000302,2002
58,36,001,000302,2004
0,36,001,000302,2005
0,36,001,000302,2007
213,36,001,000302,2008
68,36,001,000302,2010
22,36,001,000302,2012
34,36,001,000302,2013
0,36,001,000302,2014
0,36,001,000302,2016
0,36,001,000302,2017
0,36,001,000302,2018
0,36,001,000302,2019
0,36,001,000401,1007
0,36,001,000401,1010
948,36,001,000401,1012
0,36,001,000401,1027
0,36,001,000401,1030
0,36,001,000401,1032
0,36,001,000401,1035
0,36,001,000401,1037
0,36,001,000401,1038
34,36,001,000401,1041
0,36,001,000401,1003
7,36,001,000401,1006
546,36,001,000401,1008
80,36,001,000401,1009
51,36,001,000401,1011
290,36,001,000401,1013
0,36,001,000401,1014
0,36,001,000401,1015
15,36,001,000401,1016
125,36,001,000401,1017
0,36,001,000401,1018
23,36,001,000401,1019
18,36,001,000401,1020
0,36,001,000401,1021
0,36,001,000401,1022
0,36,001,000401,1023
0,36,001,000401,1024
7,36,001,000401,1025
0,36,001,000401,1026
5,36,001,000401,1028
51,36,001,000401,1029
0,36,001,000401,1031
0,36,001,000401,1033
0,36,001,000401,1034
0,36,001,000401,1036
0,36,001,000401,1039
0,36,001,000401,1040
7,36,001,000401,1042
0,36,001,000401,1000
0,36,001,000401,1001
0,36,001,000401,1002
9,36,001,000401,1004
0,36,001,000401,1005
0,36,001,000403,4001
31,36,001,000403,4003
20,36,001,000403,4004
0,36,001,000403,4006
109,36,001,000403,4014
64,36,001,000403,4019
61,36,001,000403,4021
11,36,001,000403,1003
61,36,001,000403,1006
64,36,001,000403,1008
116,36,001,000403,2000
0,36,001,000403,2005
118,36,001,000403,2008
0,36,001,000403,3010
0,36,001,000403,3013
0,36,001,000403,4008
50,36,001,000403,3001
0,36,001,000403,4000
59,36,001,000403,4002
0,36,001,000403,4005
16,36,001,000403,4007
9,36,001,000403,4009
47,36,001,000403,4010
230,36,001,000403,4011
63,36,001,000403,4012
0,36,001,000403,4013
42,36,001,000403,4015
60,36,001,000403,4016
43,36,001,000403,4017
72,36,001,000403,4018
39,36,001,000403,4020
748,36,001,000403,1000
44,36,001,000403,1001
58,36,001,000403,1002
24,36,001,000403,1004
46,36,001,000403,1005
56,36,001,000403,1007
80,36,001,000403,1009
44,36,001,000403,1010
66,36,001,000403,1011
78,36,001,000403,1012
109,36,001,000403,2001
175,36,001,000403,2002
308,36,001,000403,2003
321,36,001,000403,2004
92,36,001,000403,2006
79,36,001,000403,2007
88,36,001,000403,2009
47,36,001,000403,3000
40,36,001,000403,3002
83,36,001,000403,3003
90,36,001,000403,3004
76,36,001,000403,3005
41,36,001,000403,3006
0,36,001,000403,3007
28,36,001,000403,3008
47,36,001,000403,3009
71,36,001,000403,3011
57,36,001,000403,3012
37,36,001,000403,3014
0,36,001,000404,1001
0,36,001,000404,1004
0,36,001,000404,1005
0,36,001,000404,1007
0,36,001,000404,1016
0,36,001,000404,1020
372,36,001,000404,1022
0,36,001,000404,1000
0,36,001,000404,1002
0,36,001,000404,1003
0,36,001,000404,1006
0,36,001,000404,1008
0,36,001,000404,1009
0,36,001,000404,1010
13,36,001,000404,1011
1154,36,001,000404,1012
361,36,001,000404,1013
0,36,001,000404,1014
0,36,001,000404,1015
3294,36,001,000404,1017
0,36,001,000404,1018
0,36,001,000404,1019
0,36,001,000404,1021
0,36,001,000404,1023
0,36,001,000404,1024
116,36,001,000501,1001
178,36,001,000501,1002
123,36,001,000501,1004
137,36,001,000501,2001
85,36,001,000501,3004
88,36,001,000501,4003
426,36,001,000501,1000
120,36,001,000501,1003
136,36,001,000501,1005
60,36,001,000501,2000
30,36,001,000501,2002
188,36,001,000501,2003
128,36,001,000501,2004
109,36,001,000501,2005
36,36,001,000501,3000
90,36,001,000501,3001
145,36,001,000501,3002
163,36,001,000501,3003
147,36,001,000501,3005
310,36,001,000501,4000
48,36,001,000501,4001
93,36,001,000501,4002
94,36,001,000501,4004
156,36,001,000501,4005
234,36,001,000501,4006
240,36,001,000502,1004
571,36,001,000502,1008
0,36,001,000502,2002
250,36,001,000502,2004
