NAME,P1_001N,state,county
"Albany County, New York",314848,36,001
"Allegany County, New York",46456,36,003
"Bronx County, New York",1472654,36,005
"Broome County, New York",198683,36,007
"Cattaraugus County, New York",77042,36,009
"Cayuga County, New York",76248,36,011
"Chautauqua County, New York",127657,36,013
"Chemung County, New York",84148,36,015
"Chenango County, New York",47220,36,017
"Clinton County, New York",79843,36,019
"Columbia County, New York",61570,36,021
"Cortland County, New York",46809,36,023
"Delaware County, New York",44308,36,025
"Dutchess County, New York",295911,36,027
"Erie County, New York",954236,36,029
"Essex County, New York",37381,36,031
"Franklin County, New York",47555,36,033
"Fulton County, New York",53324,36,035
"Genesee County, New York",58388,36,037
"Greene County, New York",47931,36,039
"Hamilton County, New York",5107,36,041
"Herkimer County, New York",60139,36,043
"Jefferson County, New York",116721,36,045
"Kings County, New York",2736074,36,047
"Lewis County, New York",26582,36,049
"Livingston County, New York",61834,36,051
"Madison County, New York",68016,36,053
"Monroe County, New York",759443,36,055
"Montgomery County, New York",49532,36,057
"Nassau County, New York",1395774,36,059
"New York County, New York",1694251,36,061
"Niagara County, New York",212666,36,063
"Oneida County, New York",232125,36,065
"Onondaga County, New York",476516,36,067
"Ontario County, New York",112458,36,069
"Orange County, New York",401310,36,071
"Orleans County, New York",40343,36,073
"Oswego County, New York",117525,36,075
"Otsego County, New York",58524,36,077
"Putnam County, New York",97668,36,079
"Queens County, New York",2405464,36,081
"Rensselaer County, New York",161130,36,083
"Richmond County, New York",495747,36,085
"Rockland County, New York",338329,36,087
"St. Lawrence County, New York",108505,36,089
"Saratoga County, New York",235509,36,091
"Schenectady County, New York",158061,36,093
"Schoharie County, New York",29714,36,095
"Schuyler County, New York",17898,36,097
"Seneca County, New York",33814,36,099
"Steuben County, New York",93584,36,101
"Suffolk County, New York",1525920,36,103
"Sullivan County, New York",78624,36,105
"Tioga County, New York",48455,36,107
"Tompkins County, New York",105740,36,109
"Ulster County, New York",181851,36,111
"Warren County, New York",65737,36,113
"Washington County, New York",61302,36,115
"Wayne County, New York",91283,36,117
"Westchester County, New York",1004457,36,119
"Wyoming County, New York",40531,36,121
"Yates County, New York",24774,36,123
