NAME,P1_001N,state,place
"Carthage village, New York",3236,36,12683
"Cassadaga village, New York",573,36,12749
"Castile village, New York",970,36,12771
"Castleton-on-Hudson village, New York",1477,36,12870
"Castorland village, New York",334,36,12881
"Cato village, New York",517,36,12958
"Catskill village, New York",3745,36,13002
"Cattaraugus village, New York",960,36,13024
"Cayuga village, New York",472,36,13068
"Cayuga Heights village, New York",4114,36,13079
"Cazenovia village, New York",2767,36,13145
"Cedarhurst village, New York",7374,36,13233
"Celoron village, New York",1069,36,13288
"Cementon CDP, New York",164,36,13299
"Centereach CDP, New York",30980,36,13376
"Center Moriches CDP, New York",8046,36,13420
"Centerport CDP, New York",5822,36,13442
"Central Bridge CDP, New York",740,36,13530
"Central Islip CDP, New York",36714,36,13552
"Central Square village, New York",1862,36,13585
"Centre Island village, New York",407,36,13618
"Chadwicks CDP, New York",1291,36,13662
"Champlain village, New York",1170,36,13739
"Chappaqua CDP, New York",2598,36,13805
"Chateaugay village, New York",735,36,13981
"Chatham village, New York",1529,36,14003
"Chaumont village, New York",615,36,14036
"Chautauqua CDP, New York",218,36,14058
"Chazy CDP, New York",548,36,14102
"Cheektowaga CDP, New York",76829,36,15000
"Chelsea Cove CDP, New York",1150,36,15060
"Chenango Bridge CDP, New York",2884,36,15121
"Cherry Creek CDP, New York",409,36,15187
"Cherry Valley village, New York",467,36,15242
"Chester village, New York",3993,36,15297
"Chestertown CDP, New York",586,36,15363
"Chestnut Ridge village, New York",10505,36,15400
"Chittenango village, New York",4896,36,15561
"Churchville village, New York",2091,36,15638
"Clarence CDP, New York",2733,36,15814
"Clarence Center CDP, New York",2605,36,15836
"Clark Mills CDP, New York",2049,36,15902
"Clarkson CDP, New York",4694,36,15946
"Claverack-Red Mills CDP, New York",953,36,16050
"Clayton village, New York",1705,36,16089
"Clayville village, New York",339,36,16111
"Cleveland village, New York",732,36,16188
"Clifton Gardens CDP, New York",2729,36,16298
"Clifton Knolls-Mill Creek CDP, New York",3048,36,16322
"Clifton Springs village, New York",2209,36,16375
"Clinton village, New York",1683,36,16419
"Clintondale CDP, New York",1938,36,16452
"Clyde village, New York",2171,36,16573
"Cobleskill village, New York",4173,36,16628
"Cohocton village, New York",703,36,16727
"Cohoes city, New York",18147,36,16749
"Cold Spring village, New York",1986,36,16936
"Cold Spring Harbor CDP, New York",3064,36,16958
"Colonie village, New York",7781,36,17332
"Colton CDP, New York",348,36,17398
"Commack CDP, New York",36536,36,17530
"Conesus CDP, New York",283,36,17607
"Conesus Lake CDP, New York",2270,36,17622
"Congers CDP, New York",8532,36,17739
"Constableville village, New York",293,36,17882
"Constantia CDP, New York",1109,36,17893
"Coopers Plains CDP, New York",609,36,18036
"Cooperstown village, New York",1794,36,18047
"Copake CDP, New York",318,36,18091
"Copake Falls CDP, New York",181,36,18113
"Copake Lake CDP, New York",767,36,18124
"Copenhagen village, New York",631,36,18135
"Copiague CDP, New York",23429,36,18146
"Coram CDP, New York",40220,36,18157
"Corfu village, New York",689,36,18201
"Corinth village, New York",2562,36,18212
"Corning city, New York",10551,36,18256
"Cornwall-on-Hudson village, New York",3075,36,18333
"Cortland city, New York",17556,36,18388
"Cortland West CDP, New York",1286,36,18443
"Country Knolls CDP, New York",5349,36,18542
"Cove Neck village, New York",293,36,18597
"Coxsackie village, New York",2746,36,18718
"Cragsmoor CDP, New York",433,36,18762
"Cranberry Lake CDP, New York",174,36,18817
"Crest View Heights CDP, New York",1770,36,18993
"Croghan village, New York",639,36,19070
"Crompond CDP, New York",2330,36,19092
"Croton-on-Hudson village, New York",8327,36,19213
"Crown Heights CDP, New York",2872,36,19229
"Crugers CDP, New York",1627,36,19290
"Crystal Beach CDP, New York",627,36,19308
"Cuba village, New York",1517,36,19356
"Cumberland Head CDP, New York",1735,36,19408
"Cumminsville CDP, New York",161,36,19411
"Cutchogue CDP, New York",3437,36,19466
"Cold Brook village, New York",250,36,16815
"Cuylerville CDP, New York",268,36,19510
"Dalton CDP, New York",351,36,19587
"Danby CDP, New York",506,36,19609
"Dannemora village, New York",3287,36,19642
"Dansville village, New York",4433,36,19664
"Davenport Center CDP, New York",344,36,19774
"Deer Park CDP, New York",28837,36,19972
"Deferiet village, New York",245,36,19994
"DeKalb Junction CDP, New York",485,36,20049
"Delanson village, New York",335,36,20082
"Delevan village, New York",1043,36,20115
"Delhi village, New York",2721,36,20126
"Depauville CDP, New York",488,36,20302
"Depew village, New York",15178,36,20313
"Deposit village, New York",1387,36,20346
"Dering Harbor village, New York",50,36,20379
"DeRuyter village, New York",408,36,20390
"De Witt CDP, New York",11247,36,20467
"Dexter village, New York",1004,36,20500
"Dix Hills CDP, New York",26180,36,20687
"Dobbs Ferry village, New York",11541,36,20698
"Dolgeville village, New York",2042,36,20731
"Dover Plains CDP, New York",1322,36,20841
"Downsville CDP, New York",474,36,20852
"Dresden village, New York",293,36,20896
"Dryden village, New York",1887,36,20951
"Duane Lake CDP, New York",329,36,20989
"Duanesburg CDP, New York",379,36,20995
"Dundee village, New York",1690,36,21050
"Dunkirk city, New York",12743,36,21105
"Durhamville CDP, New York",527,36,21226
"Eagle Bay CDP, New York",54,36,21380
"Earlville village, New York",774,36,21523
"East Atlantic Beach CDP, New York",2101,36,21578
"East Aurora village, New York",5998,36,21589
"East Avon CDP, New York",618,36,21600
"Eastchester CDP, New York",20901,36,21809
"East Durham CDP, New York",466,36,21919
"East Farmingdale CDP, New York",6617,36,21985
"East Frankfort CDP, New York",496,36,22029
"East Glenville CDP, New York",11896,36,22084
"East Greenbush CDP, New York",6266,36,22106
"East Hampton village, New York",1517,36,22183
"East Hampton North CDP, New York",5377,36,22200
"East Herkimer CDP, New York",787,36,22238
"East Hills village, New York",7284,36,22260
"East Islip CDP, New York",13931,36,22315
"East Ithaca CDP, New York",3175,36,22326
"East Kingston CDP, New York",277,36,22370
"East Marion CDP, New York",1048,36,22447
