county,zip,state,n
ALBANY,01201,MA,2
ALBANY,05701,VT,1
ALBANY,06032,CT,61
ALBANY,07114,NJ,2197
ALBANY,07677,NJ,1
ALBANY,08048,NJ,29
ALBANY,08054,NJ,6
ALBANY,08060,NJ,2
ALBANY,10029,NY,1
ALBANY,10032,NY,3
ALBANY,10033,NY,1
ALBANY,10304,NY,1
ALBANY,10306,NY,1
ALBANY,10308,NY,3
ALBANY,10309,NY,1
ALBANY,10312,NY,1
ALBANY,10460,NY,2
ALBANY,10461,NY,2
ALBANY,10475,NY,1
ALBANY,10522,NY,1
ALBANY,10560,NY,1
ALBANY,10591,NY,2
ALBANY,10950,NY,1
ALBANY,10968,NY,1
ALBANY,10970,NY,2
ALBANY,10984,NY,1
ALBANY,11001,NY,1
ALBANY,11003,NY,1
ALBANY,11040,NY,2
ALBANY,11102,NY,1
ALBANY,11202,NY,1
ALBANY,11203,NY,1
ALBANY,11204,NY,1
ALBANY,11207,NY,2
ALBANY,11210,NY,1
ALBANY,11220,NY,3
ALBANY,11223,NY,1
ALBANY,11229,NY,1
ALBANY,11236,NY,1
ALBANY,11289,NY,1
ALBANY,11364,NY,4
ALBANY,11366,NY,1
ALBANY,11372,NY,1
ALBANY,11412,NY,1
ALBANY,11414,NY,1
ALBANY,11422,NY,1
ALBANY,11432,NY,1
ALBANY,11510,NY,1
ALBANY,11516,NY,1
ALBANY,11545,NY,1
ALBANY,11559,NY,1
ALBANY,11580,NY,1
ALBANY,11590,NY,1
ALBANY,11691,NY,1
ALBANY,11714,NY,1
ALBANY,11717,NY,1
ALBANY,11723,NY,1
ALBANY,11726,NY,1
ALBANY,11730,NY,1
ALBANY,11735,NY,1
ALBANY,11740,NY,1
ALBANY,11741,NY,1
ALBANY,11746,NY,2
ALBANY,11772,NY,1
ALBANY,11946,NY,1
ALBANY,11961,NY,1
ALBANY,12002,NY,1
ALBANY,12007,NY,34
ALBANY,12008,NY,1
ALBANY,12009,NY,1425
ALBANY,12010,NY,1
ALBANY,12015,NY,4
ALBANY,12018,NY,6
ALBANY,12019,NY,4
ALBANY,12020,NY,3
ALBANY,12022,NY,1
ALBANY,12023,NY,309
ALBANY,12025,NY,1
ALBANY,12027,NY,1
ALBANY,12029,NY,1
ALBANY,12033,NY,10
ALBANY,12041,NY,77
ALBANY,12042,NY,1
ALBANY,12043,NY,2
ALBANY,12045,NY,86
ALBANY,12046,NY,94
ALBANY,12047,NY,3395
ALBANY,12052,NY,1
ALBANY,12053,NY,50
ALBANY,12054,NY,3008
ALBANY,12055,NY,2
ALBANY,12056,NY,7
ALBANY,12059,NY,264
ALBANY,12061,NY,15
ALBANY,12065,NY,18
ALBANY,12067,NY,220
ALBANY,12070,NY,1
ALBANY,12077,NY,1383
ALBANY,12083,NY,59
ALBANY,12084,NY,776
ALBANY,12085,NY,61
ALBANY,12086,NY,1
ALBANY,12087,NY,7
ALBANY,12090,NY,1
ALBANY,12093,NY,1
ALBANY,12094,NY,2
ALBANY,12106,NY,1
ALBANY,12107,NY,9
ALBANY,12110,NY,4731
ALBANY,12111,NY,1
ALBANY,12117,NY,1
ALBANY,12118,NY,4
ALBANY,12120,NY,89
ALBANY,12121,NY,1
ALBANY,12122,NY,16
ALBANY,12123,NY,4
ALBANY,12124,NY,1
ALBANY,12128,NY,13
ALBANY,12130,NY,1
ALBANY,12143,NY,718
ALBANY,12144,NY,23
ALBANY,12147,NY,106
ALBANY,12150,NY,2
ALBANY,12151,NY,1
ALBANY,12154,NY,1
ALBANY,12157,NY,2
ALBANY,12158,NY,1266
ALBANY,12159,NY,1799
ALBANY,12161,NY,26
ALBANY,12170,NY,1
ALBANY,12173,NY,1
ALBANY,12180,NY,31
ALBANY,12181,NY,1
ALBANY,12182,NY,8
ALBANY,12183,NY,487
ALBANY,12184,NY,3
ALBANY,12185,NY,3
ALBANY,12186,NY,1301
ALBANY,12188,NY,10
ALBANY,12189,NY,2397
ALBANY,12193,NY,373
ALBANY,12195,NY,1
ALBANY,12196,NY,2
ALBANY,12198,NY,10
ALBANY,12201,NY,394
ALBANY,12202,NY,541
ALBANY,12203,NY,3908
ALBANY,12204,NY,1196
ALBANY,12205,NU,1
