text,url
Schedule of sales tax distribution to localities for 2026,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/schedule-of-sales-tax-distribution/schedule-of-sales-tax-distribution-to-localities-2026.xlsx
"Schedule of payments for sales tax reporting, collection and distribution for 2026",https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/schedule-of-payments/sched-of-payments-2026.xlsx
Schedule of sales tax distribution to localities for 2025,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/schedule-of-sales-tax-distribution/schedule-of-sales-tax-distribution-to-localities-2025.xlsx
"Schedule of payments for sales tax reporting, collection and distribution for 2025",https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/schedule-of-payments/sched-of-payments-2025.xlsx
August 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-08-1938.xlsx
July 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-07-1937.xlsx
July 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-07-1936.xlsx
June 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-06-1935.xlsx
June 2026: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-06-1934.xlsx
June 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-06-1933.xlsx
May 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-05-1932.xlsx
May 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-05-1931.xlsx
April 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-04-1930.xlsx
April 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-04-1929.xlsx
March 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-03-1928.xlsx
March 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-03-1927.xlsx
February 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-02-1926.xlsx
February 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-02-1925.xlsx
January 2026: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-01-1924.xlsx
January 2026: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2026-01-1923.xlsx
