fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2014,New York State Sales and Use Tax,1,11857005283
2014,New York City Sales and Use Tax,2,6393579447
2014,Municipal Assistance Corporation Sales and Use Tax,3,0
2014,Metropolitan Commuter Transportation District Sales and Use Tax,4,811113353
2014,Albany County Sales and Use Tax,5,239080716
2014,Allegany County Sales and Use Tax,6,19395602
2014,Broome County Sales and Use Tax,7,120796729
2014,Cattaraugus County Sales and Use Tax,8,34910797
2014,Cayuga County Sales and Use Tax,9,33269683
2014,Chautauqua County Sales and Use Tax,10,52438320
2014,Chemung County Sales and Use Tax,11,55417386
2014,Chenango County Sales and Use Tax,12,20346075
2014,Clinton County Sales and Use Tax,13,52877408
2014,Columbia County Sales and Use Tax,14,33559582
2014,Cortland County Sales and Use Tax,15,27322470
2014,Delaware County Sales and Use Tax,16,20489736
2014,Dutchess County Sales and Use Tax,17,164522428
2014,Erie County Sales and Use Tax,18,706543661
2014,Essex County Sales and Use Tax,19,26213216
2014,Franklin County Sales and Use Tax,20,20747917
2014,Fulton County Sales and Use Tax,21,18504938
2014,Genesee County Sales and Use Tax,22,37783121
2014,Greene County Sales and Use Tax,23,28455940
2014,Hamilton County Sales and Use Tax,24,2853763
2014,Herkimer County Sales and Use Tax,25,29270482
2014,Jefferson County Sales and Use Tax,26,70864407
2014,Lewis County Sales and Use Tax,27,10525171
2014,Livingston County Sales and Use Tax,28,29979570
2014,Madison County Sales and Use Tax,29,25058919
2014,Monroe County Sales and Use Tax,30,442160870
2014,Montgomery County Sales and Use Tax,31,28135380
2014,Nassau County Sales and Use Tax,32,1148461315
2014,Niagara County Sales and Use Tax,33,116143044
2014,Oneida County Sales and Use Tax,34,130797582
2014,Onondaga County Sales and Use Tax,35,325397004
2014,Ontario County Sales and Use Tax,36,76301436
2014,Orange County Sales and Use Tax,37,259313427
2014,Orleans County Sales and Use Tax,38,14678548
2014,Oswego County Sales and Use Tax,39,40657543
2014,Otsego County Sales and Use Tax,40,34450834
2014,Putnam County Sales and Use Tax,41,53125373
2014,Rensselaer County Sales and Use Tax,42,76184199
2014,Rockland County Sales and Use Tax,43,184942325
2014,St. Lawrence County Sales and Use Tax,44,45263296
2014,Saratoga County Sales and Use Tax,45,106977991
2014,Schenectady County Sales and Use Tax,46,89784718
2014,Schoharie County Sales and Use Tax,47,14167276
2014,Schuyler County Sales and Use Tax,48,9448783
2014,Seneca County Sales and Use Tax,49,23250104
2014,Steuben County Sales and Use Tax,50,44466509
2014,Suffolk County Sales and Use Tax,51,1282099875
2014,Sullivan County Sales and Use Tax,52,33634897
2014,Tioga County Sales and Use Tax,53,19105499
2014,Tompkins County Sales and Use Tax,54,46725980
2014,Ulster County Sales and Use Tax,55,99034123
2014,Warren County Sales and Use Tax,56,48713464
2014,Washington County Sales and Use Tax,57,19468033
2014,Wayne County Sales and Use Tax,58,40336664
2014,Westchester County Sales and Use Tax,59,489451508
2014,Wyoming County Sales and Use Tax,60,16682181
2014,Yates County Sales and Use Tax,61,10568815
2014,City of Amsterdam Sales and Use Tax,62,28
2014,City of Auburn Sales and Use Tax,63,8179686
2014,City of Batavia Sales and Use Tax,64,373
2014,City of Canandaigua Sales and Use Tax,65,3775
2014,City of Corning Sales and Use Tax,66,2504354
2014,City of Cortland Sales and Use Tax,67,0
2014,City of Elmira Sales and Use Tax,68,54
2014,City of Fulton Sales and Use Tax,69,0
2014,City of Geneva Sales and Use Tax,70,3993
2014,City of Glen Cove Sales and Use Tax,71,0
2014,City of Glens Falls Sales and Use Tax,72,2656339
2014,City of Gloversville Sales and Use Tax,73,2769538
2014,City of Hornell Sales and Use Tax,74,2444655
2014,City of Ithaca Sales and Use Tax,75,10211223
2014,City of Johnstown Sales and Use Tax,76,3476410
2014,City of Mechanicville Sales and Use Tax,77,0
2014,City of Mount Vernon Sales and Use Tax,78,18462604
2014,City of New Rochelle Sales and Use Tax,79,26079429
2014,City of Norwich Sales and Use Tax,80,1552972
2014,City of Ogdensburg Sales and Use Tax,81,36
2014,City of Olean Sales and Use Tax,82,4134041
2014,City of Oneida Sales and Use Tax,83,4304346
2014,City of Oswego Sales and Use Tax,84,12670359
2014,City of Plattsburgh Sales and Use Tax,85,0
2014,City of Rome Sales and Use Tax,86,6710853
2014,City of Salamanca Sales and Use Tax,87,582314
2014,City of Saratoga Springs Sales and Use Tax,88,10649253
2014,City of Schenectady Sales and Use Tax,89,0
2014,City of Sherrill Sales and Use Tax,90,913
2014,City of Troy Sales and Use Tax,91,0
2014,City of Utica Sales and Use Tax,92,9605284
2014,City of White Plains Sales and Use Tax,93,50821143
2014,City of Yonkers Sales and Use Tax,94,42170018
2014,City of Yonkers Special Sales and Use Tax,95,28113318
2014,City of Newburgh Consumer Utilities,96,928997
2014,City of Port Jervis Consumer Utilities,97,231067
2014,Albany City School District Consumer Utilities,98,4192698
2014,Batavia City School District Consumer Utilities,99,680311
2014,Cohoes City School District Consumer Utilities,100,667230
2014,Glen Cove City School District Consumer Utilities,101,1318836
2014,Gloversville City School District Consumer Utilities,102,593195
2014,Hornell City School District Consumer Utilities,103,292622
2014,Hudson City School District Consumer Utilities,104,483832
2014,Johnstown City School District Consumer Utilities,105,448794
2014,Lackawanna City School District Consumer Utilities,106,527269
2014,Long Beach City School District Consumer Utilities,107,1540141
2014,Middletown City School District Consumer Utilities,108,1252775
2014,Mt. Vernon City School District Consumer Utilities,109,2432187
2014,New Rochelle City School District Consumer Utilities,110,3430578
2014,Newburgh City School District Consumer Utilities,111,1818485
2014,Niagara Falls City School District Consumer Utilities,112,1946559
2014,Ogdensburg City School District Consumer Utilities,113,422403
2014,Peekskill City School District Consumer Utilities,114,796888
2014,Rensselaer City School District Consumer Utilities,115,369460
2014,Schenectady City School District Consumer Utilities,116,2206761
2014,Troy City School District Consumer Utilities,117,1453655
2014,Utica City School District Consumer Utilities,118,1931732
2014,Watertown City School District Consumer Utilities,119,1171611
2014,Watervliet City School District Consumer Utilities,120,339141
2014,White Plains City School District Consumer Utilities,121,3733517
2014,New York City Convention Center Development Corporation Hotel Occupancy,122,41845045
2014,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",123,2218326
2014,City of Long Beach Hotel Occupancy and Restaurant Meals,124,1351079
2014,Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental,125,44151125
2014,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",126,6856464
2015,New York State Sales and Use Tax,1,12263327571
2015,New York City Sales and Use Tax,2,6710667508
2015,Municipal Assistance Corporation Sales and Use Tax,3,0
2015,Metropolitan Commuter Transportation District Sales and Use Tax,4,704485048
2015,Albany County Sales and Use Tax,5,252678750
2015,Allegany County Sales and Use Tax,6,20068318
2015,Broome County Sales and Use Tax,7,119935166
2015,Cattaraugus County Sales and Use Tax,8,36884493
2015,Cayuga County Sales and Use Tax,9,35187385
2015,Chautauqua County Sales and Use Tax,10,55684595
2015,Chemung County Sales and Use Tax,11,59147288
2015,Chenango County Sales and Use Tax,12,21187007
2015,Clinton County Sales and Use Tax,13,53445159
2015,Columbia County Sales and Use Tax,14,36040078
2015,Cortland County Sales and Use Tax,15,29227427
2015,Delaware County Sales and Use Tax,16,22068222
2015,Dutchess County Sales and Use Tax,17,174697630
2015,Erie County Sales and Use Tax,18,733365974
2015,Essex County Sales and Use Tax,19,28171983
2015,Franklin County Sales and Use Tax,20,22112891
2015,Fulton County Sales and Use Tax,21,19626926
2015,Genesee County Sales and Use Tax,22,38270652
2015,Greene County Sales and Use Tax,23,29056554
2015,Hamilton County Sales and Use Tax,24,3491946
2015,Herkimer County Sales and Use Tax,25,30159573
2015,Jefferson County Sales and Use Tax,26,71966382
2015,Lewis County Sales and Use Tax,27,12125273
2015,Livingston County Sales and Use Tax,28,31401990
2015,Madison County Sales and Use Tax,29,25922974
2015,Monroe County Sales and Use Tax,30,453208971
2015,Montgomery County Sales and Use Tax,31,29422175
2015,Nassau County Sales and Use Tax,32,1075601388
2015,Niagara County Sales and Use Tax,33,119282056
2015,Oneida County Sales and Use Tax,34,133107577
2015,Onondaga County Sales and Use Tax,35,339021212
2015,Ontario County Sales and Use Tax,36,78796234
2015,Orange County Sales and Use Tax,37,261332770
2015,Orleans County Sales and Use Tax,38,15877952
2015,Oswego County Sales and Use Tax,39,41812359
2015,Otsego County Sales and Use Tax,40,36015719
2015,Putnam County Sales and Use Tax,41,56058374
2015,Rensselaer County Sales and Use Tax,42,79765205
2015,Rockland County Sales and Use Tax,43,195995014
2015,St. Lawrence County Sales and Use Tax,44,56906835
2015,Saratoga County Sales and Use Tax,45,111997682
2015,Schenectady County Sales and Use Tax,46,95355613
2015,Schoharie County Sales and Use Tax,47,15138160
2015,Schuyler County Sales and Use Tax,48,10170340
2015,Seneca County Sales and Use Tax,49,22918928
2015,Steuben County Sales and Use Tax,50,47325966
2015,Suffolk County Sales and Use Tax,51,1297661047
2015,Sullivan County Sales and Use Tax,52,36108864
