cty,stplc,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,n_blocks
36001,3601000,131841,2,0,116,2722,1935,1813,4487,2136,1950,7463,994,7955,2133,5815,12219,22827,758,4123,3120,49273,580
36001,3601517,140,0,0,0,15,0,0,36,1,11,1,4,0,0,10,0,28,6,23,5,0,12
36001,3616749,3319,0,0,10,144,594,72,360,62,8,30,105,46,133,302,392,457,33,255,129,187,110
36001,3617332,6610,0,0,0,385,71,264,1059,666,60,370,109,396,110,364,568,469,55,787,401,476,46
36001,3630521,1525,0,0,0,174,623,172,58,5,0,8,13,49,0,56,106,12,47,58,61,83,27
36001,3641399,8862,2,0,0,104,0,35,3135,155,6,147,115,271,16,666,792,378,167,1219,841,813,72
36001,3643566,1506,0,0,0,155,0,13,250,3,3,55,88,130,9,51,177,222,41,140,169,0,50
36001,3646536,4418,122,0,585,197,122,285,59,16,809,56,53,847,87,234,84,146,5,93,299,319,27
36001,3659831,17,0,0,0,6,8,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
36001,3660675,514,0,0,0,19,174,1,45,2,13,12,1,9,0,5,0,36,0,70,41,86,30
36001,3663363,13911,0,0,7,979,300,1006,2749,348,145,410,298,932,373,871,600,3792,82,596,421,2,82
36001,3667367,3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,0,0,2,1933,1
36001,3677684,984,0,0,0,81,279,8,121,51,37,9,0,33,0,44,172,30,3,21,40,55,18
36001,3678674,1932,0,0,2,209,342,39,256,154,4,20,22,52,15,48,258,98,30,213,94,76,76
36001,3680423,5689,0,0,0,73,7,40,1019,20,14,162,124,361,0,430,1210,243,47,891,158,890,38
36001,9999999,64479,182,156,88,3268,4627,2702,6045,3798,1852,4903,1421,5924,1076,5389,4621,7877,939,4676,2861,2074,784
36003,3601198,2428,0,7,0,3,35,0,56,11,4,5,2,28,0,2,1834,5,0,389,20,27,16
36003,3601440,41,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,0,0,13,6,0,5
36003,3602143,258,0,0,0,0,40,6,28,0,0,6,8,0,0,0,109,3,0,12,13,33,12
36003,3602176,107,0,0,0,0,61,0,11,0,3,0,5,0,2,4,0,2,0,12,4,3,9
36003,3605562,196,0,0,0,0,4,0,7,0,0,7,0,0,0,0,113,0,0,65,0,0,6
36003,3605815,1031,0,0,0,8,0,0,18,0,2,3,0,3,23,4,184,34,0,0,17,735,13
36003,3607190,271,0,0,0,0,0,0,59,0,5,10,3,1,0,6,153,16,0,3,13,2,15
36003,3612177,129,0,0,0,7,0,0,17,0,1,0,0,0,0,0,92,1,0,4,1,6,5
36003,3619356,918,0,0,0,0,19,18,193,73,14,59,0,22,0,105,63,188,0,69,47,48,21
36003,3625747,145,0,0,19,3,4,0,50,0,10,20,0,5,0,2,1,6,0,19,6,0,9
36003,3627694,597,0,0,0,4,395,0,30,0,0,5,0,0,0,0,87,0,0,3,4,69,8
36003,3635771,840,0,0,0,0,0,0,0,0,0,0,0,1,0,22,639,127,1,37,10,3,8
36003,3661434,30,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,18,3
36003,3664155,40,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,31,4
36003,3665761,240,0,0,0,0,0,0,12,0,0,0,0,0,0,0,144,59,0,25,0,0,4
36003,3670717,38,0,0,0,0,9,0,0,0,0,9,0,0,0,1,0,2,0,7,10,0,5
36003,3679092,2984,0,0,9,31,110,9,308,1,26,21,21,115,31,69,379,1031,79,478,150,116,53
36003,9999999,3748,102,5,58,278,887,135,298,90,10,47,10,97,0,81,532,592,54,249,102,121,220
36005,3651000,340785,27,4,1857,11366,5188,13125,30139,8926,2338,3024,10827,5766,1678,11015,60040,115856,2901,17019,9645,30044,3435
36007,3606607,25259,0,4,8,811,1557,584,1558,246,218,764,241,1291,297,759,5192,7736,279,1710,1470,534,319
36007,3606644,931,0,0,0,0,28,0,16,0,0,1,0,0,0,0,0,0,0,882,4,0,2
36007,3615121,289,0,0,0,2,4,3,45,0,0,47,0,49,1,32,0,44,14,46,2,0,13
36007,3620346,174,0,0,0,4,0,0,72,2,13,4,0,0,0,0,0,16,0,19,1,43,11
36007,3624515,5867,16,0,0,201,1639,54,306,74,159,150,47,318,2,250,675,880,19,516,299,262,104
36007,3624526,3543,0,0,0,252,234,97,468,8,37,41,23,158,531,279,300,353,57,373,132,200,86
36007,3629058,38,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,15,4
36007,3638748,8774,0,0,0,136,372,154,1367,57,26,111,39,130,7,253,463,4413,208,564,254,220,102
36007,3642642,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
36007,3659245,2652,0,0,0,13,109,66,0,0,23,0,0,0,0,2,0,3,0,0,86,2350,10
36007,3681831,830,13,0,0,25,37,0,136,1,0,45,1,6,0,360,1,43,0,127,2,33,14
36007,3682524,457,0,0,0,5,0,0,44,29,0,3,0,0,0,0,283,24,0,21,7,41,12
36007,9999999,33403,124,29,1000,2022,2622,1923,4609,2290,689,648,774,841,162,1072,4925,3061,300,3583,1002,1727,608
36009,3601286,680,0,7,0,52,8,7,59,74,2,24,8,8,0,3,139,110,0,82,21,76,16
36009,3613024,116,16,0,0,0,3,11,6,1,4,13,1,10,0,6,0,0,0,16,3,26,7
36009,3620115,199,0,0,0,6,16,6,12,27,7,7,6,8,0,0,88,14,0,0,2,0,8
36009,3622843,282,0,0,0,0,15,0,0,0,0,0,0,0,0,3,131,110,0,13,10,0,5
36009,3624020,865,0,0,0,18,72,0,133,0,2,25,17,25,0,13,0,14,8,497,20,21,25
36009,3627331,524,0,10,8,4,69,0,64,0,0,5,3,7,0,0,247,8,1,45,7,46,19
36009,3629630,711,0,1,0,15,162,0,43,36,12,15,10,9,0,136,0,189,1,39,24,19,16
36009,3642345,41,0,0,0,1,0,0,23,0,0,0,2,0,0,0,0,0,0,7,8,0,5
36009,3642378,130,0,0,0,0,0,0,0,69,0,0,2,31,0,0,0,0,0,12,0,16,6
36009,3642829,1573,0,0,0,11,0,0,33,1,13,46,4,12,0,0,230,253,1,16,15,938,15
36009,3644226,66,0,0,0,0,0,0,22,30,0,4,0,1,0,0,0,0,0,7,2,0,4
36009,3654716,8129,0,0,42,204,1305,125,960,16,39,359,45,238,172,730,576,1917,157,729,244,271,127
36009,3657287,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,7,0,22,2
36009,3659498,516,0,0,0,5,63,5,33,0,3,4,6,4,2,0,309,9,0,31,26,16,10
36009,3660576,460,0,0,0,4,24,3,45,0,0,11,1,36,0,0,212,38,0,16,42,28,14
36009,3664551,2398,0,0,0,34,0,31,541,9,17,197,4,34,1,12,1098,55,0,278,87,0,15
