roll_year,county_name,municipality_name,municipality_code,roll_section,property_class,property_class_description,fmv,ctv,av,n
2025,Albany,Albany,010100,1,210,One Family Year-Round Residence,3543218257,3241730984,3401489482,13442
2025,Albany,Albany,010100,1,215,One Family Year-Round Residence with Accessory Apartment,7368750,6715280,7074000,23
2025,Albany,Albany,010100,1,220,Two Family Year-Round Residence,1251617673,1173917661,1201552983,5871
2025,Albany,Albany,010100,1,230,Three Family Year-Round Residence,284436249,270048745,273058800,1167
2025,Albany,Albany,010100,1,270,Mobile Home,129688,124500,124500,3
2025,Albany,Albany,010100,1,280,Residential - Multi_Purpose/Multi-Structure,6783441,6512100,6512100,26
2025,Albany,Albany,010100,1,281,Multiple Residences,338646,325100,325100,1
2025,Albany,Albany,010100,1,310,Residential,26667,25600,25600,1
2025,Albany,Albany,010100,1,311,Residential Vacant Land,36678330,34500720,35210940,2283
2025,Albany,Albany,010100,1,312,Residential Land Including a Small Improvement,4593758,4317000,4410000,257
2025,Albany,Albany,010100,1,330,Vacant Land Located in Commercial Areas,26778658,25665500,25707500,213
2025,Albany,Albany,010100,1,331,Commercial Vacant with minor improvements,1247083,1197200,1197200,14
2025,Albany,Albany,010100,1,340,Vacant Land Located in Industrial Areas,9517015,9135330,9136330,79
2025,Albany,Albany,010100,1,341,Industrial Vacant with minor improvements,11118751,10674000,10674000,13
2025,Albany,Albany,010100,1,411,Apartments,623348821,552926040,598414799,974
2025,Albany,Albany,010100,1,414,Hotel,107630939,103325700,103325700,12
2025,Albany,Albany,010100,1,415,Motel,4666667,4480000,4480000,2
2025,Albany,Albany,010100,1,418,"Inns, Lodges, Boarding Houses, Tourist Homes, Fraternity and Sorority Homes",3608540,3464200,3464200,6
2025,Albany,Albany,010100,1,421,Restaurants,11443032,10985310,10985310,21
2025,Albany,Albany,010100,1,422,Diners and Luncheonettes,3476876,3337800,3337800,8
2025,Albany,Albany,010100,1,424,Night Clubs,1695312,1627500,1627500,2
2025,Albany,Albany,010100,1,425,Bar,4295939,4124100,4124100,11
2025,Albany,Albany,010100,1,426,Fast Food Franchises,17381980,16344000,16686700,15
2025,Albany,Albany,010100,1,430,Motor Vehicle Services,1227083,1178000,1178000,1
2025,Albany,Albany,010100,1,431,Auto Dealers - Sales and Service,33804065,32451900,32451900,23
2025,Albany,Albany,010100,1,432,Service and Gas Stations,30145939,28940100,28940100,24
2025,Albany,Albany,010100,1,433,"Auto Body, Tire Shops, Other Related Auto Sales",37194379,35706600,35706600,88
2025,Albany,Albany,010100,1,434,Automatic Car Wash,957708,919400,919400,2
2025,Albany,Albany,010100,1,437,Parking Garage,8363021,8028500,8028500,3
2025,Albany,Albany,010100,1,438,Parking Lot,37734809,35790030,36225400,336
2025,Albany,Albany,010100,1,439,Small Parking Garage,1018752,978000,978000,19
2025,Albany,Albany,010100,1,440,"Storage, Warehouse and Distribution Facilities",16196980,15549100,15549100,7
2025,Albany,Albany,010100,1,441,Fuel Storage and Distribution Facilities,22162915,21276400,21276400,5
2025,Albany,Albany,010100,1,442,Mini Warehouse (Self-Service Storage),11573958,11111000,11111000,1
2025,Albany,Albany,010100,1,443,"Grain and Feed Elevators, Mixers, Sales Outlets",2856250,2742000,2742000,1
2025,Albany,Albany,010100,1,447,Trucking Terminals,3110417,2986000,2986000,4
2025,Albany,Albany,010100,1,449,"Other Storage, Warehouse and Distribution Facilities",290887042,265049275,279251545,255
2025,Albany,Albany,010100,1,450,Retail Services,10657083,7969967,10230800,2
2025,Albany,Albany,010100,1,451,Regional Shopping Centers,52804792,50692600,50692600,3
2025,Albany,Albany,010100,1,452,Area of Neighborhood Shopping Centers,28442710,27305000,27305000,7
2025,Albany,Albany,010100,1,453,Large Retail Outlets,40038750,38437200,38437200,6
2025,Albany,Albany,010100,1,454,Large Retail Food Stores,33321772,31988900,31988900,7
2025,Albany,Albany,010100,1,457,Small Retail,136979,131500,131500,1
2025,Albany,Albany,010100,1,461,Standard Bank/Single Occupant,905208,869000,869000,1
2025,Albany,Albany,010100,1,462,Drive-In Branch Bank,8756042,8362199,8405800,10
2025,Albany,Albany,010100,1,463,Bank Complex with Office Building,14266667,13696000,13696000,3
2025,Albany,Albany,010100,1,464,Office Building,463777656,416650664,445226544,195
2025,Albany,Albany,010100,1,465,Professional Building,28212292,27083800,27083800,16
2025,Albany,Albany,010100,1,470,Miscellaneous Services,390729,375100,375100,1
2025,Albany,Albany,010100,1,471,Funeral Homes,4585105,4401700,4401700,8
2025,Albany,Albany,010100,1,472,"Dog Kennels, Veterinary Clinics",1314167,1261600,1261600,3
2025,Albany,Albany,010100,1,474,Billboards,1075000,1032000,1032000,2
2025,Albany,Albany,010100,1,475,Junkyards,227083,218000,218000,2
2025,Albany,Albany,010100,1,480,Multiple Use or Multipurpose,1241250,1191600,1191600,4
2025,Albany,Albany,010100,1,481,Downtown Row Type (with common wall),167738972,155340193,161029400,538
2025,Albany,Albany,010100,1,482,Downtown Row Type (detached),43315528,40791379,41582900,148
2025,Albany,Albany,010100,1,483,Converted Residence,31663961,30307977,30397400,116
2025,Albany,Albany,010100,1,484,One Story Small Structure,42509691,40642317,40809300,137
2025,Albany,Albany,010100,1,485,One Story Small Structure - Multi occupant,19652918,18866800,18866800,35
2025,Albany,Albany,010100,1,486,Minimart,5223958,5015000,5015000,8
2025,Albany,Albany,010100,1,511,Legitimate Theaters,1653125,1587000,1587000,1
2025,Albany,Albany,010100,1,512,Motion Picture Theaters (excludes drive-in theaters),2087396,2003900,2003900,2
2025,Albany,Albany,010100,1,515,"Radio, T.V. and Motion Picture Studios",7363125,7068600,7068600,4
2025,Albany,Albany,010100,1,521,"Stadiums, Arenas, Armories, Field Houses",70875000,5417200,68040000,2
2025,Albany,Albany,010100,1,532,Amusement Parks,680208,653000,653000,1
2025,Albany,Albany,010100,1,534,Social Organizations,11790104,10627910,11318500,8
2025,Albany,Albany,010100,1,540,Indoor Sports Facilities,10869480,2544500,10434700,2
2025,Albany,Albany,010100,1,544,Health Spas,175000,168000,168000,1
2025,Albany,Albany,010100,1,546,Other Indoor Sports,554479,532300,532300,1
2025,Albany,Albany,010100,1,570,Marinas,672917,646000,646000,1
2025,Albany,Albany,010100,1,612,Schools,1921875,1845000,1845000,4
2025,Albany,Albany,010100,1,614,Special Schools and Institutions,645417,619600,619600,2
2025,Albany,Albany,010100,1,615,Other Educational Facilities,1309272,1256900,1256900,4
2025,Albany,Albany,010100,1,620,Religious,14873934,6240361,14278975,19
2025,Albany,Albany,010100,1,631,Orphanages,203542,195400,195400,1
2025,Albany,Albany,010100,1,632,Benevolent and Moral Associations,3516557,1248782,3375895,2
2025,Albany,Albany,010100,1,633,Homes for the Aged,41496146,39836300,39836300,3
2025,Albany,Albany,010100,1,642,All Other Health Facilities,10790979,6972844,10359340,3
2025,Albany,Albany,010100,1,681,Cultural Facilities,854688,593400,820500,2
2025,Albany,Albany,010100,1,692,"Roads, Streets, Highways and Parkways, Express or Otherwise Including Adjoining Land",329689,316500,316500,8
2025,Albany,Albany,010100,1,695,Cemeteries,579792,556600,556600,1
