OID_ZCTA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,MTFCC_ZCTA5_20,CLASSFP_ZCTA5_20,FUNCSTAT_ZCTA5_20,OID_PLACE_20,GEOID_PLACE_20,NAMELSAD_PLACE_20,AREALAND_PLACE_20,AREAWATER_PLACE_20,MTFCC_PLACE_20,CLASSFP_PLACE_20,FUNCSTAT_PLACE_20,AREALAND_PART,AREAWATER_PART
NA,NA,NA,NA,NA,NA,NA,NA,27890690944950,3602286,Antwerp village,2598790,75433,G4110,C1,A,245608,0
NA,NA,NA,NA,NA,NA,NA,NA,27890303824373,3602968,Atlantic Beach village,1137583,1506193,G4110,C1,A,0,1054684
NA,NA,NA,NA,NA,NA,NA,NA,28090303824376,3604550,Barnum Island CDP,2241575,969176,G4210,U1,S,0,335457
NA,NA,NA,NA,NA,NA,NA,NA,27890694260143,3605100,Beacon city,12273969,353971,G4110,C5,A,0,322424
NA,NA,NA,NA,NA,NA,NA,NA,27890701537858,3608103,Briarcliff Manor village,15527998,2167717,G4110,C1,A,0,2118121
NA,NA,NA,NA,NA,NA,NA,NA,27890701537860,3610341,Buchanan village,3666065,865561,G4110,C1,A,0,729838
NA,NA,NA,NA,NA,NA,NA,NA,27890115740547,3611000,Buffalo city,104577537,31344742,G4110,C5,A,640844,26121720
NA,NA,NA,NA,NA,NA,NA,NA,27890105673484,3612144,Canandaigua city,11811298,691411,G4110,C5,A,0,520792
NA,NA,NA,NA,NA,NA,NA,NA,2809015799542008,3612402,Captree CDP,4189202,3053108,G4210,U1,S,0,2153944
NA,NA,NA,NA,NA,NA,NA,NA,28090498683697,3613420,Center Moriches CDP,13632103,2022284,G4210,U1,S,0,948128
NA,NA,NA,NA,NA,NA,NA,NA,27890695088003,3616188,Cleveland village,2930380,241687,G4110,C1,A,0,229179
NA,NA,NA,NA,NA,NA,NA,NA,27890732195703,3618333,Cornwall-on-Hudson village,5146045,270738,G4110,C1,A,0,270735
NA,NA,NA,NA,NA,NA,NA,NA,27890701537861,3619213,Croton-on-Hudson village,12155696,15696268,G4110,C1,A,0,15015125
NA,NA,NA,NA,NA,NA,NA,NA,28090701530558,3619290,Crugers CDP,1719994,1475537,G4210,U1,S,0,1372979
NA,NA,NA,NA,NA,NA,NA,NA,280903939460956,3619308,Crystal Beach CDP,1765245,526106,G4210,U1,S,0,526106
NA,NA,NA,NA,NA,NA,NA,NA,27890701537862,3620698,Dobbs Ferry village,6274830,1948211,G4110,C1,A,0,1946439
NA,NA,NA,NA,NA,NA,NA,NA,28090303824389,3621578,East Atlantic Beach CDP,808228,961004,G4210,U1,S,0,683938
NA,NA,NA,NA,NA,NA,NA,NA,28090498683713,3622546,East Moriches CDP,14058264,1485909,G4210,U1,S,0,432267
NA,NA,NA,NA,NA,NA,NA,NA,28090498683722,3625839,Fire Island CDP,23746996,75324501,G4210,U1,S,5747827,61929618
NA,NA,NA,NA,NA,NA,NA,NA,28090498683723,3625923,Fishers Island CDP,10504177,2355901,G4210,U1,S,23299,0
NA,NA,NA,NA,NA,NA,NA,NA,28090498683724,3626121,Flanders CDP,29783682,2285892,G4210,U1,S,0,822809
NA,NA,NA,NA,NA,NA,NA,NA,27890105673486,3628640,Geneva city,10914565,4225907,G4110,C5,A,135833,4214444
NA,NA,NA,NA,NA,NA,NA,NA,280903716516123,3628990,Gilgo CDP,12964649,26870941,G4210,U2,S,0,9519708
NA,NA,NA,NA,NA,NA,NA,NA,28090312238693,3629014,Glasco CDP,4186593,1738268,G4210,U1,S,0,1677892
NA,NA,NA,NA,NA,NA,NA,NA,27890303824406,3629113,Glen Cove city,17243917,32598438,G4110,C5,A,0,31976203
NA,NA,NA,NA,NA,NA,NA,NA,280903717135766,3629894,Grandyle Village CDP,4871934,955179,G4210,U1,S,0,955179
NA,NA,NA,NA,NA,NA,NA,NA,28090498683733,3631896,Hampton Bays CDP,33501890,19613751,G4210,U1,S,0,598394
NA,NA,NA,NA,NA,NA,NA,NA,28090303824414,3632094,Harbor Hills CDP,309161,152151,G4210,U1,S,0,152151
NA,NA,NA,NA,NA,NA,NA,NA,27890701537865,3632710,Hastings-on-Hudson village,5125595,2431182,G4110,C1,A,0,2431182
NA,NA,NA,NA,NA,NA,NA,NA,27890697016750,3632754,Haverstraw village,5135771,7916923,G4110,C1,A,0,7700465
NA,NA,NA,NA,NA,NA,NA,NA,28090312238695,3634484,Highland CDP,13990326,1825362,G4210,U1,S,0,1719557
NA,NA,NA,NA,NA,NA,NA,NA,27890701537866,3637803,Irvington village,7225673,3341258,G4110,C1,A,0,3213227
NA,NA,NA,NA,NA,NA,NA,NA,27890699381624,3638077,Ithaca city,13957120,1766770,G4110,C5,A,353,1130737
NA,NA,NA,NA,NA,NA,NA,NA,27890303824431,3639694,Kings Point village,8699839,1666094,G4110,C1,A,0,640650
NA,NA,NA,NA,NA,NA,NA,NA,27890312238699,3639727,Kingston city,19379178,3334136,G4110,C5,A,0,2665298
NA,NA,NA,NA,NA,NA,NA,NA,27890701537867,3641333,Larchmont village,2838001,5124,G4110,C1,A,0,2168
NA,NA,NA,NA,NA,NA,NA,NA,28090303824438,3642279,Lido Beach CDP,4383749,7070761,G4210,U1,S,0,6375977
NA,NA,NA,NA,NA,NA,NA,NA,27890303824440,3643335,Long Beach city,5743691,4342656,G4110,C5,A,0,3532942
NA,NA,NA,NA,NA,NA,NA,NA,27890701537868,3644831,Mamaroneck village,8311614,8822663,G4110,C1,A,7225,8449608
NA,NA,NA,NA,NA,NA,NA,NA,28090312238703,3645700,Marlboro CDP,12910067,1658499,G4210,U1,S,0,1531537
NA,NA,NA,NA,NA,NA,NA,NA,28090498683753,3646085,Mastic Beach CDP,12686827,2862151,G4210,U1,S,0,43703
NA,NA,NA,NA,NA,NA,NA,NA,27890743707504,3646206,Mayfield village,2606192,465566,G4110,C1,A,0,18790
NA,NA,NA,NA,NA,NA,NA,NA,280903724139009,3648208,Montrose CDP,4196753,2164886,G4210,U1,S,0,2020837
NA,NA,NA,NA,NA,NA,NA,NA,27890732195714,3650034,Newburgh city,9857747,2533739,G4110,C5,A,0,2421554
NA,NA,NA,NA,NA,NA,NA,NA,2809015771111321,3650276,New Hamburg CDP,1243026,496155,G4210,U1,S,0,340640
NA,NA,NA,NA,NA,NA,NA,NA,27890701537871,3650617,New Rochelle city,26640882,7404359,G4110,C5,A,18567,737636
NA,NA,NA,NA,NA,NA,NA,NA,27890287325779,3651000,New York city,778165283,445421632,G4110,C1,A,17763211,434188959
NA,NA,NA,NA,NA,NA,NA,NA,27890494564912,3651055,Niagara Falls city,36482615,7100859,G4110,C5,A,291095,5278102
NA,NA,NA,NA,NA,NA,NA,NA,2809015692388286,3651484,North Bay CDP,2888281,520545,G4210,U1,S,0,514334
NA,NA,NA,NA,NA,NA,NA,NA,27890494564913,3653682,North Tonawanda city,26140446,2076404,G4110,C5,A,0,1239992
NA,NA,NA,NA,NA,NA,NA,NA,27890743707505,3653770,Northville village,2752057,892408,G4110,C1,A,0,514398
NA,NA,NA,NA,NA,NA,NA,NA,27890697016756,3654100,Nyack village,1995139,2170006,G4110,C1,A,0,2170006
NA,NA,NA,NA,NA,NA,NA,NA,2809015799542007,3654111,Oak Beach CDP,2959136,5598346,G4210,U1,S,0,4148358
NA,NA,NA,NA,NA,NA,NA,NA,27890701537872,3655530,Ossining village,8203208,8511138,G4110,C1,A,0,8454908
NA,NA,NA,NA,NA,NA,NA,NA,27890695088008,3655574,Oswego city,19720149,9359182,G4110,C5,A,0,4713350
NA,NA,NA,NA,NA,NA,NA,NA,27890701537873,3656979,Peekskill city,11251161,3177119,G4110,C5,A,1556,2577892
NA,NA,NA,NA,NA,NA,NA,NA,27890109996697,3657177,Penn Yan village,6216496,145419,G4110,C1,A,0,30435
NA,NA,NA,NA,NA,NA,NA,NA,27890697016757,3657749,Piermont village,1745794,1225348,G4110,C1,A,0,1213637
NA,NA,NA,NA,NA,NA,NA,NA,27890303824475,3658497,Plandome Manor village,1403012,238781,G4110,C1,A,0,1769
NA,NA,NA,NA,NA,NA,NA,NA,27890290609064,3658574,Plattsburgh city,13049718,4028894,G4110,C5,A,0,3427604
